input_index,experiment_tag,xai_method,user_category,ablation_mode,constrained_decoding,lambda,ner_merging,predicted_class,confidence,text_snippet,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
1,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Digestive system diseases,0.6624,Endometriosis associated with massive ascites and absence of pelvic peritoneum. Although massive ascites associated with…,"The model classified the abstract as a digestive system disease due to the presence of ascites, which is a common symptom of various gastrointestinal conditions, and the mention of peritoneal destruction, indicating damage to the abdominal lining. These findings are directly relevant to diseases affecting the digestive system, such as inflammatory bowel disease, ulcerative colitis, or Crohn's disease, where ascites can occur due to fluid accumulation in the abdominal cavity. Additionally, the destruction of abdominal tissue suggests inflammation or scarring, which are hallmarks of conditions like irritable bowel syndrome (IBS) or chronic pancreatitis, both of which can lead to ascites. The model likely inferred that the patient's digestive system was compromised, leading to the classification of digestive system diseases.",0.5,1.0,9.571523109243714,19.315021008403367,19.032712561301913
2,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Cardiovascular diseases,0.9097,"Ultrasound-Doppler diagnosis of Budd-Chiari syndrome. We report a case of apparently idiopathic Budd-Chiari syndrome, di…","The model classified the abstract as ""Cardiovascular diseases"" because it identified key terms related to blood vessels and their disorders. The phrase ""hepatic veins"" in the abstract refers to the veins in the liver, which are part of the circulatory system and can be affected by cardiovascular diseases. Additionally, the mention of ""partial thromotic obstruction"" suggests a condition where blood flow is blocked, which is a hallmark of cardiovascular diseases, particularly those affecting the heart or blood vessels. The abstract also discusses the presence of ""spontaneous erythromyeloid colonies formation"" in bone marrow, which can be indicative of underlying conditions such as myelodysplastic syndromes, a type of blood disorder that can lead to cardiovascular issues. Therefore, the combination of these terms points to a cardiovascular disease diagnosis.",1.0,1.0,20.785571428571444,16.620539682539683,17.58133193835471
3,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,General pathological conditions,0.5573,Neurogenic inflammation of the rat trachea: fate of neutrophils that adhere to venules. The goal of this study was to de…,"The model classified the biomedical abstract as ""General pathological conditions"" because the text discusses various aspects of inflammation, cell behavior, and organ function. Key words and phrases that influenced the prediction include:

1. **Mucosa**: This term is crucial as it refers to the inner lining of organs and cavities. In the context of the study, the mucosa in the rat's respiratory tract (trachea) was examined. The mucosa plays a critical role in maintaining the integrity of the respiratory system and is involved in inflammatory responses.

2. **Neutrophil Adhesion and Migration**: The abstract discusses the adherence and subsequent migration of leukocytes (mainly neutrofils) to the endothelial cells of blood vessels. This process is central to the immune response and inflammation, which are key pathological conditions.

3. **Capsaicin-Induced Neurogenic Inflammation**:",1.0,1.0,28.00437500000001,13.328125000000004,15.579741850924794
4,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Nervous system diseases,0.6343,Aberrant regeneration in a case of syringobulbia: selective co-activation of abducens and facial nerves during saccades.…,"The model classified the abstract as ""Nervous System Diseases"" because it identified key words and phrases that point to conditions affecting the nervous system. The most influential tokens from LIME were ""syringomelia,"" which is a condition characterized by abnormal development of the spinal cord, leading to various neurological symptoms. This condition directly relates to the abstract's description of a patient with syringo-bulbia, a condition involving abnormal development or degeneration of the brain and spinal cord. The model likely inferred that the patient's symptoms, such as facial muscle twitching during eye movements, are indicative of a nervous system disorder.",1.0,1.0,22.263418367346958,16.240510204081634,17.122413403193683
5,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Neoplasms,0.8244,Germ cell tumor of testis in a patient with von Hippel-Lindau disease. Germ cell testicular tumor is a previously undesc…,"The model classified the biomedical abstract as ""Neoplastic Lesions"" because the key tokens responsible—disease and cell—indicate the presence of abnormal tissue growth. In this case, the patient has a germ cell tumor associated with Von Hippel–Lindau (VHL) disease, which is a genetic disorder characterized by the development of tumors in various organs, including the testes. The term ""germ cell tumor"" specifically refers to tumors that originate from germ cells, which are the cells that give rise to sperm and eggs. This type of tumor is considered neoplastic because it involves the uncontrolled growth of cells, leading to the formation of a mass or lesion. The presence of VHL disease further supports the classification as a neoplasm, as it is associated with an increased risk of developing various types of tumors, including germ cell tumors. The thorough evaluation and careful",1.0,1.0,37.85752398081539,13.734208633093527,14.790194502661404
6,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Digestive system diseases,0.6946,Failure of hepatitis B immunization in liver transplant recipients: results of a prospective trial. Twenty patients with…,"The model classified the biomedical abstract as ""Digestive System Diseases"" because the key tokens responsible for this prediction—specifically, the words and phrases related to the liver and hepatitis—are highly relevant to this class. The abstract discusses liver disease and hepatitis, both of which fall under the broader category of digestive system diseases. The model likely attributed high importance to these terms due to their direct relevance to the topic of the abstract, which focuses on diseases affecting the liver, a component of the digestive system.",1.0,1.0,16.83901960784317,17.949411764705882,18.599290044081553
7,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Cardiovascular diseases,0.7881,Spontaneous rupture of an aortic aneurysm into the left renal vein. A diagnostic challenge. Rupture of an aortic aneurys…,"The model classified this abstract as ""Cardiovascular diseases"" because the key tokens ""veins"" and ""renal vein"" in the abstract are highly relevant to this prediction. The renal vein is a part of the circulatory system, specifically a vein that carries deoxygenated blood from the kidneys to the inferior vena cava. In the context of the abstract, the mention of the renal vein suggests a connection to the cardiovascular system, particularly the aorta, which is a major artery that supplies blood to the body. The abstract describes a situation where a rupture occurred in the aortic and renal veins, which can be a serious medical condition. This information aligns with the definition of cardiovascular diseases, as it involves blood vessels and the heart. Therefore, the model likely considered this abstract to be related to cardiovascular diseases due to the presence of these vascular structures.",1.0,1.0,30.600810023310032,14.911993006993011,15.470042427545799
8,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Neoplasms,0.8469,Imaging of a parapharyngeal hemangiopericytoma. Radioimmunoscintigraphy (SPECT) with indium-111-labeled anti-CEA antibod…,"The model classified the biomedical abstract as ""Neoplastic"" due to the mention of a ""parafaryngea hemangioperytoma,"" which is a type of neoplastic growth. This tumor is characterized by abnormal cell growth and division, fitting the definition of a neoplasia. Additionally, the use of the term ""malignancy"" in the context of the patient's condition further supports the prediction of ""Neoplasm"" as the most likely class.",0.0,1.0,30.52229166666669,14.301875000000003,16.32212239822248
9,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Neoplasms,0.4018,Clinicopathological features of elevated lesions of the duodenal bulb. We present here our findings on patients with an …,"The model classified the biomedical abstract as ""Neoplastic Lesions"" due to the presence of adenomas, which are benign tumors of glandular epithelium, and the term ""adenomatous polyp"" in the context of the abstract, indicating a neoplastic process. The abstract also mentions ""adenocarcinoma,"" which is a malignant form of neoplasia, further supporting the classification. Additionally, the mention of ""gastrointestinal ulceration"" and ""gastroduodenal ulcer"" suggests an inflammatory process, which can also be classified as a neoplasic lesion. The use of ""endoscopic biopsy"" to diagnose these lesions further supports the prediction of ""neoplastic lesions"" as the most appropriate classification.",0.5,1.0,6.225000000000023,18.353333333333335,18.243605946275583
10,expert_normal_lime,LIME,EXPERT,normal,True,0.0,False,Cardiovascular diseases,0.4788,Magnetic resonance imaging for assessment of vena caval tumor thrombi: a comparative study with venacavography and compu…,"The model classified the biomedical abstract as ""Cardiovascular diseases"" because the key tokens ""cancer"" and ""thrombosis"" in the abstract are highly relevant to this prediction. Specifically, the text mentions ""renal cell carcinoma"" (renal cell cancer), which is a type of cancer, and ""vena caval thrombosis,"" which refers to blood clots in the veins that carry blood from the heart to the lungs. These terms directly relate to cardiovascular diseases, as they pertain to the heart, circulatory system, and blood flow. The model likely attributed high importance to these terms due to their strong association with cardiovascular conditions, especially those involving cancerous growths in blood vessels.",1.0,1.0,27.911250000000024,15.887500000000003,16.52667757954773
