text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,EXPERT,normal,"assistant
The model predicted that the patient has a digestive system disease because the key feature identified as influential is the liver. The liver, which is part of the digestive system, plays a crucial role in various functions such as detoxification, metabolism, and bile production. When the liver is affected, it can lead to a variety of digestive system issues, such as liver cirrhosis, hepatitis, or gallstones. These conditions can cause symptoms like abdominal pain, jaundice, and changes in bowel habits. Therefore, the model attributes the patient's digestive symptoms to a liver-related issue, leading to the prediction of a digestive disease.",1.0,1.0,31.371603960396072,13.901861386138616,15.112257680678326
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,EXPERT,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,EXPERT,normal,"assistant
The model predicted a digestive system disease because the key features identified—ascites, the serous lining of the abdominal cavity (peritoneum), and the reproductive system condition (Endemetriosis)—are all directly related to the digestive system. Ascites is a fluid accumulation in the abdomen that can be caused by various conditions, including those affecting the digestive tract. Peritoneum is a membrane that lines the abdominal and pelvic cavities, and its involvement suggests a condition that affects the abdominal organs, which are part of the digestive anatomy. The reproductive system, represented by Endmetriosis, is closely linked to the female reproductive organs, and conditions affecting these organs can also impact the digestive process. Therefore, the combination of these features points to a disease primarily affecting the gastrointestinal or reproductive systems, both of which fall under the broader category of digestive system diseases.",0.6667,1.0,13.299260869565217,18.260956521739136,19.48791578843652
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because the key features identified, claudation and pain, are strongly associated with this condition. Claudication, which is represented by the token ""claudication,"" is a symptom characterized by pain or discomfort in the leg muscles that occurs when walking or climbing stairs. This symptom is often a sign of peripheral artery disease, a condition that narrows the arteries supplying blood to the legs, leading to reduced blood flow and increased risk of cardiovascular events. Pain, represented by ""pain,"" is another common symptom of cardiovascular diseases, such as angina, which occurs when the heart muscle does not receive enough oxygen-rich blood. The model likely attributed these symptoms to cardiovascular diseases due to their strong correlation with this medical condition.",1.0,1.0,20.231853658536608,16.548715447154475,17.353723509956247
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,EXPERT,normal,"assistant
The model classified the case as 'Neoplasm' due to the presence of a 'cell' in the dataset. The cell is a fundamental biological unit that can undergo abnormal growth and division, which is characteristic of neoplastic processes. In the biomedical context, a neoplasm is an abnormal growth of cells that can be benign (non-cancerous) or malignant (cancerous). Therefore, the model identified the cell as a key feature that led to the classification of the case.",1.0,1.0,38.386842105263185,12.625263157894736,15.579741850924794
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,EXPERT,normal,"assistant
The model classified the case as 'Neoplasm' because it identified 'cancer' as a key feature. Cancer is a disease characterized by uncontrolled cellular proliferation, which aligns with the concept of a neoplasm. Therefore, the model likely inferred that the patient's condition involves abnormal cellular growth and division, consistent with a neoplastic process. This classification reflects the model's understanding that cancer is a specific type of neoplasia, a broader term encompassing any abnormal growth of cells.",1.0,1.0,22.8026315789474,14.798947368421054,16.218646115125612
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,EXPERT,normal,"assistant
The model identified the colon as an influential token in predicting the class. The colon is a part of the digestive tract, which falls under the broader category of organs. Within the organ hierarchy, the colon is classified as a subdivision of the tube, and further subdivided into the colon itself. Given that the model attributes importance to the colon, it likely inferred that the patient's condition involves a neoplasm, which is a type of abnormal growth in the colon or other parts of the body.",1.0,1.0,40.841508620689694,12.966063218390804,14.191785591663535
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,EXPERT,normal,"assistant
The model predicted a general pathological condition due to the presence of two key features: hepatitis and the unspecified token ""This"". Hepatitis is a liver disease, specifically an inflammation of the liver, which falls under the broader category of liver diseases. The ""This"" token, while not explicitly defined in the ontology, likely refers to a specific instance or case, possibly related to the hepatitis condition. Together, these features indicate a systemic issue affecting the liver and possibly other parts of the body, consistent with the prediction of a ""General pathological condition.""",1.0,1.0,15.209565217391315,16.851739130434783,18.511140095513987
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
