text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because the key features identified are related to the digestive system. The term ""ascites"" refers to fluid buildup in the abdomen, which can be a symptom of liver or kidney problems. ""Peritoneum"" is the membrane that lines the abdomen and covers the organs inside. Lastly, ""peritoneal mesothelioma"" is a type of cancer that affects this membrane, which falls under the broader category of digestive system diseases.",1.0,1.0,40.61942307692311,12.438076923076924,13.023866798666859
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because it identified the symptom 'claudication' in the patient's medical history. Claudication is a symptom that occurs when blood flow to the legs is reduced, often due to blockages in the arteries. This reduction in blood flow can lead to cardiovascular diseases, such as coronary artery disease or peripheral artery disease, which affect the heart and blood vessels. Therefore, the model inferred that cardiovascular diseases might be a risk for the patient based on this symptom.",1.0,1.0,29.58459302325585,14.474069767441858,15.903189008614273
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic conditions because it identified the presence of cancer, which is a type of neoplasm. Cancer is a disease characterized by the uncontrolled growth and division of cells, leading to the formation of tumors. In this case, the model detected cancer as an influential feature, indicating a high likelihood of the patient having a neoplasia, which includes both benign and malignant tumors.",1.0,1.0,33.28880952380953,14.412857142857145,16.32212239822248
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic tissue, which means abnormal growth of cells. The key feature identified is ""colon,"" which is part of the anatomy of the body. In the biomedical context, ""colon"" refers to the large intestine, which is a site where abnormal cell growth can occur. Therefore, the model likely inferred that there is an abnormal growth or tumor in the colon, leading to the prediction of ""neoplasm.""",1.0,1.0,50.4016609589041,10.763116438356167,13.023866798666859
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,BEGINNER,normal,"assistant
The model predicted that the patient has a general pathological condition because it identified hepatitis as a key feature. Hepatitis is a disease of the gastrointestinal system, which falls under the broader category of general pathological conditions. Therefore, the model likely considered hepatitis to be a significant factor in the patient's overall health status, leading it to classify the patient as having a generalized health issue rather than a specific disease like diabetes or heart disease.",1.0,1.0,10.484632034632028,18.17324675324676,18.243605946275583
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
Lower extremity arterial disease in elderly subjects with systolic hypertension.…,Cardiovascular diseases,0.9408,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified hypertension as a key feature. Both hypertension and hypertension are diseases of the cardiovascular system, which falls under the broader category of cardiovascular diseases. Therefore, the model likely considered hypertension to be a significant risk factor for cardiovascular health issues, leading to the prediction of a cardiovascular disease. The ontology paths show that hypertension is directly related to cardiovascular diseases, making it a crucial factor in the model's decision.",1.0,1.0,-1.6805769230768988,18.33807692307693,17.693802365651003
Role of surgery in antibiotic-induced pseudomembranous enterocolitis. With the i…,Digestive system diseases,0.7851,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it identified ""colitis"" as an influential feature. Colitis is a type of inflammation in the colon, which falls under the broader category of diseases affecting the digestive system. The model likely analyzed the patient's symptoms and medical history to conclude that colitis is the most probable cause of their condition, leading to the prediction of digestive system diseases.",1.0,1.0,23.14572769953054,15.910422535211268,18.243605946275583
Patient age and results of balloon aortic valvuloplasty: the Mansfield Scientifi…,Cardiovascular diseases,0.87,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified heart failure and valve as key features. Heart failure is a condition where the heart can't pump enough blood to meet the body's needs. Valves are parts of the heart that keep blood flowing in the right direction. Both of these features are related to the cardiovascular system, which includes the heart and blood vessels. Therefore, the model likely inferred that the patient has cardiovascular diseases based on these symptoms.",1.0,1.0,52.65369620253165,9.840354430379751,11.602472056035307
How ancient is temporal arteritis? Realism is one of the characteristics of Amar…,Cardiovascular diseases,0.9191,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because the key feature identified, blindness, is related to a disease of the nervous system, which is a type of cardiovascular disease. The ontology path shows that blindness is part of the broader category of nervous system diseases, which are a subset of cardiovascular diseases. Therefore, the model likely inferred that the presence of blindness is indicative of cardiovascular issues, leading to the prediction.",1.0,1.0,19.457792792792816,16.673243243243245,15.903189008614273
The role of elective lymph node dissection in the management of patients with th…,Neoplasms,0.8583,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic tissue, which means abnormal growth of cells. The key features identified as influential are melanoma and lymph. 

Melanoma is a type of cancer that starts in the skin and can spread to other parts of the body. Lymph, on the other hand, is a fluid that helps fight infections and contains white blood cells. In the context of the model's prediction, melanoma is likely to be a significant factor, as it is a form of neoplasia. The presence of melanoma suggests that there may be abnormal cell growth in the patient's skin, which could be indicative of a neoplasm. The lymph component is less directly related to the prediction, but it could be part of a larger immune response that might contribute to the overall condition.",1.0,1.0,54.406666666666695,10.461798941798943,13.707050652182112
Systemic chemotherapy for urothelial cancer in patients with ureteric obstructio…,Neoplasms,0.6457,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Central nervous system vasculitis after chickenpox--cause or coincidence? A 7.5 …,Cardiovascular diseases,0.4682,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because it identified features related to the cardiovascular system. The key influential tokens are ""vasculitis,"" ""chickenpox,"" ""brain,"" and ""artery."" ""Vasculitis"" refers to inflammation of the blood vessels, which can lead to cardiovascular issues. ""Chickenpox"" is a viral infection that can affect the nervous system, potentially leading to neurological problems. ""Brain"" is part of the central nervous system and can be affected by cardiovascular diseases. ""Artery"" is an artery, which is a type of blood vessel that carries blood from the heart to the rest of the body. All of these features point to cardiovascular diseases as the most likely diagnosis.",1.0,1.0,31.68318181818185,12.744025974025977,14.138980108339055
Intraepithelial anchoring fibril components. Cultured human keratinocytes and cu…,Neoplasms,0.8585,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic conditions because it identified the presence of carcinoma, which is a type of neoplasm. Carcinoma is a cancer that originates in the epithelial cells of the skin, glands, or internal organs. In this case, the model detected carcinoma in the patient, indicating that there is an abnormal growth of cells in the body, which falls under the broader category of neoplasia.",1.0,1.0,33.28880952380953,14.412857142857145,16.728156217252725
The effects of nonthyroid disease and drugs on thyroid function tests. Serious n…,General pathological conditions,0.6815,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
Prostatic duct adenocarcinoma. Findings at radical prostatectomy. Previous studi…,Neoplasms,0.8511,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Review of clinical experience with digoxin immune Fab (ovine). Following the dev…,General pathological conditions,0.4776,BEGINNER,normal,"assistant
The model predicted that the patient has a general pathological condition because the key features identified were related to the heart and a lack of potassium in the blood. The heart is a vital organ that plays a crucial role in pumping blood throughout the body. When the heart is affected, it can lead to various health issues. On the other hand, low potassium levels in the body, which is known as hyperkalemia, can also be a cause for concern. Both of these conditions fall under the broader category of general pathological conditions, which encompasses a wide range of health issues that do not specifically target a particular organ or system but affect the body as a whole.",0.5,1.0,44.75867226890756,12.92897478991597,14.554592549557764
