text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,BEGINNER,normal,"The model likely classified this abstract under digestive system diseases because it mentions ""syndrome,"" which is a term used to describe a group of symptoms that occur together. In this case, the syndrome being discussed is hepatopulmonary syndrome, which affects both the liver and lungs. This condition can develop after liver transplantation due to changes in blood flow and oxygenation in the body. The presence of this syndrome suggests complications related to liver function and circulation, aligning with the broader category of digestive system diseases.",1.0,1.0,36.967426470588265,13.382205882352945,14.554592549557764
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,BEGINNER,normal,"In making its prediction that the abstract belongs to the digestive system diseases category, the machine learning model likely focused on several key elements within the text. One crucial factor was the mention of ""ascites,"" which is a condition characterized by an accumulation of fluid in the abdomen. This is directly related to the digestive system because it affects organs such as the liver and spleen.

Another significant element was ""peritoneum,"" which refers to the thin layer of tissue lining the abdominal cavity. The presence of ""massive destruction of the pelvic peritoneum"" suggests severe damage to this protective lining, indicating potential complications like infection or inflammation.

Lastly, the term ""Endometriosis"" appeared prominently in the abstract, describing a condition involving abnormal growths of tissue similar to the lining inside the uterus outside the uterus. While Endometriosis itself does not fall under digestive system diseases, its association with other",1.0,1.0,22.075102040816347,15.397278911564623,16.26309291913925
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,BEGINNER,normal,"The model predicted cardiovascular diseases because the abstract mentions ""intermittent claudication,"" which is a symptom of peripheral vascular disease. This condition affects blood flow to the legs, causing pain during physical activity that improves with rest. Since indobufen, an inhibitor of platelet aggregation, has been used to treat this condition, the model likely inferred that treating peripheral vascular disease could potentially reduce cardiovascular risks associated with poor circulation. The mention of treadmill exercise tests and pain-free walking distances further supports this interpretation, indicating that the study aimed to assess the effects of indobufen on overall mobility and quality of life, both of which can have implications for cardiovascular health.",1.0,1.0,10.752396788990836,18.52924311926606,18.243605946275583
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,BEGINNER,normal,"When evaluating an abstract related to endosonography in the staging of oesophageal cancer, the model focused on keywords like ""cancer"" and ""staging."" These terms are crucial because they indicate that the study deals with diagnosing and categorizing cancers, specifically those affecting the oesophagus. Cancer refers to any abnormal growth of cells, while staging involves determining how far the cancer has spread within the body. By identifying these terms, the model likely recognized that the abstract discusses methods for assessing the severity of oesophageal cancer through imaging techniques such as computed tomography (CT), endoscopic ultrasound (EUS), and endosonography. This information suggests that the study aims to improve diagnostic accuracy and treatment strategies for oesophageal cancer patients. Therefore, the model classified the abstract under ""Neoplasms,"" indicating that it contains information about abnormal growths of",1.0,1.0,21.714090909090913,15.696060606060609,15.903189008614273
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,BEGINNER,normal,"When considering the abstract, the word ""colon"" stands out as crucial to the model's prediction of neoplasms. Colon refers to the large intestine that connects the small intestine to the rectum. In the context of the FHS study, colon cancer is one of the most common types of neoplasms among the subjects. This makes sense because colorectal cancers often develop over many years due to chronic inflammation and changes in DNA repair mechanisms. Therefore, the presence of colon-related information strongly suggests that the model focused on neoplastic processes involving the colon.",1.0,1.0,42.403758241758254,11.86624175824176,12.68835289967788
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,BEGINNER,normal,"When considering the abstract excerpt, the model likely focused on broad pathological conditions affecting multiple organs. Hepatitis and hemorrhage are two key terms highlighted by LIME feature attribution. Hepatitis refers to inflammation of the liver, which can lead to various symptoms like jaundice and fatigue. Hemorrhage involves bleeding within the body, potentially causing internal injuries or external wounds.

These terms are medically significant because they represent broader categories of pathology that could impact many different parts of the body over time. For example, chronic hepatitis might affect liver function, leading to anemia if the liver fails to produce enough red blood cells. Similarly, repeated minor hemorrhages could contribute to overall health deterioration through ongoing damage to tissues and organs.

In the context of the abstract, these concepts suggest a focus on long-term effects of aplastic anemia, which affects bone marrow production. Chronic inflammation and potential bleeding could complicate treatment decisions",1.0,1.0,23.538333333333384,14.116666666666667,15.021129683784007
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
