text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because it identified the cavernous sinus as an influential feature. The cavernous sinus is a venous dural sinus located within the skull that plays a crucial role in the circulation of cerebrospinal fluid and blood between the brain and the spinal cord. This anatomical location suggests a high likelihood of involvement in cardiovascular conditions due to its proximity to central nervous system structures. The presence of this feature indicates a strong association with vascular pathology, which aligns with the classification of cardiovascular diseases.",1.0,1.0,14.100688202247227,16.820084269662917,17.122413403193683
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it detected significant presence of ascites and peritoneum in the patient's condition. Ascites refers to fluid accumulation around the abdomen, which can be associated with various conditions affecting the digestive tract such as liver cirrhosis or heart failure. Peritoneum, being part of the peritoneal cavity that lines the abdominal organs, indicates inflammation or infection within this area, often linked to gastrointestinal issues like appendicitis or inflammatory bowel disease. Additionally, the mention of Endometriosis suggests involvement of the reproductive system, which can sometimes affect the digestive tract due to hormonal influences or structural abnormalities. These findings collectively point towards potential underlying causes related to the digestive system, leading to the model's classification.",1.0,1.0,0.6813613445378337,19.076873949579838,19.083932058031824
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because it detected the presence of claudication, which is an abnormal sensation of pain that occurs during walking due to reduced blood flow to the legs. Claudication indicates peripheral artery disease, a condition affecting the arteries supplying blood to the limbs. This finding suggests a risk factor for cardiovascular diseases such as coronary artery disease, heart attack, or stroke. The model likely inferred from this symptom that there might be underlying vascular issues contributing to these conditions.",1.0,1.0,21.67013554216871,15.391656626506027,17.122413403193683
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified the presence of cells within tissues, which suggests abnormal growth patterns indicative of neoplastic processes. Cells are fundamental units of life that differentiate from one another during development and function as the primary building blocks of all living organisms. In the context of medicine, cells can exhibit abnormalities such as mutations or dysregulation, leading to uncontrolled proliferation known as neoplasia. This prediction indicates an increased likelihood of cancerous conditions due to the observed cellular anomalies.",1.0,1.0,12.496641566265055,16.671174698795188,18.243605946275583
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified 'cancer' as an influential token among the key features analyzed. According to the ontology, 'cancer' is a type of neoplasm, which is defined as abnormal growth of cells that can form tumors. Therefore, since 'cancer' was deemed important by the model, it likely inferred that the patient has a condition classified under the broader term 'Neoplasms', encompassing all types of abnormal cell growth. This conclusion is supported by the fact that 'cancer' falls within the broader category of neoplastic disorders, further reinforcing the model's classification.",1.0,1.0,30.41044354838712,14.793629032258064,16.218646115125612
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified the presence of both ""colon"" and ""group"" as key features. These tokens represent anatomical structures within the gastrointestinal system. Specifically, ""colon"" refers to the large intestine, which plays a crucial role in digestion and waste elimination. Meanwhile, ""group"" likely indicates a collection or cluster of cells that have undergone abnormal growth, consistent with neoplastic changes. Together, these features suggest an increased risk of developing cancerous tumors in this region of the body, leading to the classification of 'Neoplasms'.",1.0,1.0,29.030488372093032,13.483116279069773,14.554592549557764
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,EXPERT,normal,"assistant
The model predicted ""General pathological conditions"" because it detected multiple significant indicators that point towards systemic health issues affecting various organs and systems. Hepatitis, which falls under the broader category of liver disease within the gastrointestinal system, suggests inflammation or damage to the liver cells. The presence of ""This,"" an unspecified entity from the Coelopidae family, likely indicates some form of developmental anomaly or genetic condition. Lastly, the detection of leukemia, a type of blood cancer, further emphasizes systemic involvement across the hematopoietic system. These findings collectively suggest complex, multifaceted health problems involving multiple organ systems, thus leading to the classification of ""General pathological conditions.""",1.0,1.0,-3.037716981132064,18.94969811320755,19.083932058031824
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
Lower extremity arterial disease in elderly subjects with systolic hypertension.…,Cardiovascular diseases,0.9408,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified hypertension as an influential factor. Hypertension, which is part of the broader category of cardiovascular diseases, involves high blood pressure that can lead to various complications affecting the heart, arteries, and other parts of the circulatory system. This condition directly impacts the cardiovascular health, making hypertension a significant risk factor for developing cardiovascular diseases such as coronary artery disease, stroke, and heart failure. Therefore, the model attributes hypertension to being a key element contributing to the classification of cardiovascular diseases.",1.0,1.0,-7.762233146067416,19.86952247191012,19.53771442962202
Role of surgery in antibiotic-induced pseudomembranous enterocolitis. With the i…,Digestive system diseases,0.7851,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it identified two key features that align with this classification: colitis and peritonitis. Colitis is an inflammation of the colon, which falls under the broader category of inflammatory bowel diseases. Peritonitis refers to infection or irritation of the abdominal lining, typically caused by inflammation elsewhere in the body. Both conditions directly relate to issues within the digestive tract, making 'Digestive system diseases' the most appropriate classification among the options presented.",1.0,1.0,8.080961538461565,16.976538461538464,17.971250198000288
Patient age and results of balloon aortic valvuloplasty: the Mansfield Scientifi…,Cardiovascular diseases,0.87,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified ""heart failure"" as an influential token among key features. Heart failure is a condition within the cardiovascular system that affects blood flow through the heart. This diagnosis indicates dysfunction in the heart's ability to pump blood effectively, which can lead to various complications such as fluid buildup around the lungs (pulmonary edema), fluid retention in the legs (peripheral edema), and other symptoms related to impaired circulation. Given this information, the model likely inferred that patients with heart failure have increased risk factors associated with cardiovascular diseases, including hypertension, diabetes, obesity, and smoking, all of which contribute to the development and progression of heart disease. Therefore, the presence of heart failure strongly suggests a higher likelihood of cardiovascular diseases being diagnosed in these individuals.",1.0,1.0,5.711727272727302,19.02115151515152,18.878054631974784
How ancient is temporal arteritis? Realism is one of the characteristics of Amar…,Cardiovascular diseases,0.9191,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because it identified ""blindness"" as an influential factor. According to the ontology, blindness falls under the broader category of eye diseases, which are part of sensory system diseases, which are subcategories of nervous system diseases. This pathway suggests that conditions affecting vision could potentially lead to cardiovascular issues due to systemic effects such as hypertension or diabetes mellitus, both of which can contribute to heart disease. Therefore, the presence of blindness was deemed significant enough to predict cardiovascular diseases among other possibilities.",1.0,1.0,6.652727272727304,17.79681818181818,17.971250198000288
The role of elective lymph node dissection in the management of patients with th…,Neoplasms,0.8583,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified melanoma as an influential token among the key features analyzed. Melanoma is a type of neoplasm characterized by uncontrolled cellular proliferation within skin cells. This classification reflects the broader concept of neoplasms, which encompass all types of abnormal growths that occur outside of normal tissue boundaries. Therefore, melanoma serves as a representative example of neoplastic processes within the skin, leading to the overall prediction of 'Neoplasms'.",1.0,1.0,14.284527027027053,15.862837837837837,16.827784334635936
Systemic chemotherapy for urothelial cancer in patients with ureteric obstructio…,Neoplasms,0.6457,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Central nervous system vasculitis after chickenpox--cause or coincidence? A 7.5 …,Cardiovascular diseases,0.4682,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified two key features that align with this diagnosis: vasculitis and chickenpox. Vasculitis is a condition affecting blood vessels, which can lead to inflammation and damage within the cardiovascular system. This fits well with the broader category of cardiovascular diseases. Chickenpox, while typically an acute viral infection, can sometimes affect the heart or cause complications related to the cardiovascular system, such as myocarditis. Therefore, both vasculitis and chickenpox contribute to the likelihood of a cardiovascular disease being diagnosed.",1.0,1.0,11.323511627906981,15.952883720930235,16.887214914478655
Intraepithelial anchoring fibril components. Cultured human keratinocytes and cu…,Neoplasms,0.8585,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified carcinoma as an influential token among key features. Carcinoma is a type of neoplasm characterized by abnormal growth of cells that can spread throughout the body. This classification indicates that the tumor originates from epithelial tissue and has the potential for metastasis. Therefore, carcinoma directly corresponds to the broader term 'Neoplasms', which encompasses all types of new growths or tumors.",1.0,1.0,24.11235294117651,14.119411764705884,15.579741850924794
The effects of nonthyroid disease and drugs on thyroid function tests. Serious n…,General pathological conditions,0.6815,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
Prostatic duct adenocarcinoma. Findings at radical prostatectomy. Previous studi…,Neoplasms,0.8511,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Review of clinical experience with digoxin immune Fab (ovine). Following the dev…,General pathological conditions,0.4776,EXPERT,normal,"assistant
The model predicted 'General pathological conditions' because it identified the heart as an influential token among the key features analyzed. In the biomedical ontology, the heart belongs to the broader category of circulatory organs, which further categorizes it under thoracic segments and primary circulatory organs. This hierarchical placement indicates that the heart plays a central role in the body's circulatory system, responsible for pumping blood throughout the body. Given this foundational position within the cardiovascular system, the heart likely contributes significantly to various physiological processes such as oxygen transport and waste removal. Therefore, the model inferred that the presence or dysfunction of the heart could lead to general pathological conditions affecting multiple bodily functions.",1.0,1.0,1.783913043478293,18.72434782608696,18.669449996058646
Effect of increased left atrial pressure on breathing frequency in anesthetized …,Cardiovascular diseases,0.7793,EXPERT,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Extracorporeal shock wave lithotripsy of gallstones: results and 6-month follow-…,Digestive system diseases,0.8115,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
A biphasic pattern of anti-pre-S responses in acute hepatitis B virus infection.…,Digestive system diseases,0.7331,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it identified the presence of two key features that strongly indicate involvement of this organ system: the liver and hepatitis B virus infection. The liver, which is an essential part of the digestive system, plays a crucial role in detoxifying substances and producing bile, both critical functions related to digestion. Additionally, hepatitis B virus can directly affect various organs including the liver, leading to inflammation and damage, thus potentially causing digestive issues such as jaundice or altered bowel movements. Therefore, these findings point towards a diagnosis involving the digestive system, consistent with the model's prediction.",1.0,1.0,13.962827669902936,17.70881067961165,18.7741
Surgical prophylaxis of malignant melanoma. A review of a 14-year experience wit…,Neoplasms,0.8733,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified melanoma as an influential token among the key features analyzed. Melanoma is a type of neoplasm, which is defined as abnormal growth of cells that can occur anywhere in the body. In this case, the model likely inferred from the presence of melanoma data that there was an increased risk of developing other types of neoplastic conditions such as skin cancers. Therefore, the model classified the patient as having 'Neoplasms', recognizing melanoma as one of several potential neoplastic entities within the broader classification.",1.0,1.0,26.629464285714306,15.196785714285713,16.218646115125612
"Rapid, nonradioactive detection of clonal T-cell receptor gene rearrangements in…",Neoplasms,0.7611,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Cavernous hemangioma of the spinal cord: report of 2 unusual cases. We present 2…,Neoplasms,0.7727,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified two key features that align with this diagnosis: hemangioma and spinal cord. Hemangiomas are benign tumors composed of blood vessels, which fall under the broader category of neoplasms. They can occur anywhere in the body, including the brain and spinal cord. The presence of a hemangioma suggests an abnormal growth pattern consistent with neoplastic processes. Additionally, the spinal cord being mentioned indicates involvement of a central nervous system component, further supporting the classification as a neoplasm. These findings collectively point towards a diagnosis of neoplasms, specifically mentioning both the tumor nature and its location within the central nervous system.",1.0,1.0,26.65005451713398,13.972476635514024,15.021129683784007
Histochemical demonstration of 5'-nucleotidase activity in inflammatory muscle d…,General pathological conditions,0.6255,EXPERT,normal,"assistant
The model predicted ""General pathological conditions"" because it identified several key features that collectively point towards an underlying issue affecting multiple bodily systems. Muscular dystrophy, which falls under the broader category of muscle tissue diseases within the realm of myopathies, indicates a condition characterized by progressive weakness and degeneration of muscles. Polymyositis, another muscular disease, further emphasizes this systemic involvement by focusing specifically on inflammation and muscle damage. These diagnoses suggest a complex set of issues involving various organs and tissues throughout the body, consistent with the general nature of pathological conditions encompassing numerous health problems.",1.0,1.0,-6.166378865979368,20.143788659793817,20.503739492662863
Refeeding of infants with acute diarrheal disease. The purpose of this study was…,Digestive system diseases,0.7134,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it identified ""diarrhea"" as an influential token among key features. According to the ontology, ""diarrhea"" falls under the broader category of ""disease,"" which itself is part of the larger classification of ""anatomical entity."" This hierarchical relationship indicates that ""diarrhea"" is a symptom or manifestation of a digestive system disorder. Therefore, the model likely inferred from the presence of ""diarrhea"" that the patient was experiencing symptoms consistent with a digestive system condition, leading to the prediction of 'Digestive system diseases.'",1.0,1.0,3.889784482758671,18.12008620689655,18.511140095513987
HBV-DNA detection by gene amplification in acute hepatitis B. Serum samples from…,Digestive system diseases,0.7323,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it identified two key features that align with this diagnosis: ""hepatitis b"" and ""hepatitis"". These terms indicate inflammation or infection of the liver, which falls under the broader category of digestive system diseases. The ontology paths show that both ""hepatitis b"" and ""hepatitis"" are part of the larger classification within the gastrointestinal system, specifically categorized under liver disease. This hierarchical relationship supports the model's conclusion that these conditions fall under the digestive system diseases umbrella.",1.0,1.0,6.380978915662666,17.524186746987954,18.243605946275583
Left ventricular diastolic function in patients with left ventricular systolic d…,Cardiovascular diseases,0.9485,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified two key features that strongly indicate this condition: myocardial infarction and coronary artery disease. Myocardial infarction, which is represented by the term ""myocardial infarction"" itself, refers to a heart attack caused by blocked blood flow to part of the heart muscle due to a blockage in one of the arteries supplying the heart. Coronary artery disease, indicated by the term ""coronary artery disease,"" encompasses conditions affecting the arteries that supply blood to the heart, including narrowing or hardening of these vessels, leading to reduced blood flow to the heart muscle. Both of these conditions fall under the broader category of cardiovascular diseases, making myocardial infarction and coronary artery disease strong indicators of the predicted outcome.",1.0,1.0,4.805483870967748,20.290322580645164,21.19438992294339
Oxygen uptake and heart rate responses during hypoxic exercise in children and a…,General pathological conditions,0.5042,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
Cellular immune response to hepatitis B virus-encoded antigens in acute and chro…,Digestive system diseases,0.7009,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it identified key features related to the liver and hepatitis that are directly linked to this diagnostic category. Specifically, the presence of the liver was highlighted as an influential factor, indicating involvement of this organ within the digestive system. Additionally, two types of hepatitis were noted—hepatitis E and B—which are both classified under liver diseases and further support the connection to the digestive system. These findings collectively point towards conditions affecting the liver and bile ducts, which fall squarely within the realm of digestive system diseases.",1.0,1.0,16.482500000000016,16.798404255319152,18.243605946275583
"CV 205-502--effectiveness, tolerability, and safety over 24-month study. Twenty …",General pathological conditions,0.5862,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The usefulness of simultaneous determinations of glucosaminylation and fucosylat…,Neoplasms,0.7992,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified carcinoma as an influential token among key features. Carcinoma is a type of neoplasm characterized by abnormal cell growth and division within tissues. This classification indicates that the tumor involves cells from epithelial tissue, which can lead to malignancy if left untreated. The presence of carcinoma suggests that the patient has a condition involving uncontrolled cellular proliferation, fitting squarely under the broader category of neoplasms.",1.0,1.0,14.475633561643832,15.774075342465757,16.52667757954773
Unusual aspects of aortovenous fistulas associated with ruptured abdominal aorti…,Cardiovascular diseases,0.718,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because it identified an iliac vein and a vein as key features. These anatomical structures are part of the circulatory system, which plays a crucial role in delivering oxygenated blood throughout the body. An iliac vein specifically connects the inferior vena cava to the common iliac veins, facilitating the return of deoxygenated blood from the lower extremities back to the heart. Veins, like the iliac vein, transport blood from various parts of the body back to the heart. Both these vessels are integral components of the cardiovascular system, which includes the heart, arteries, and veins that work together to maintain circulation and deliver essential nutrients and oxygen to tissues while removing waste products. Therefore, the presence of these vascular structures strongly suggests a diagnosis of cardiovascular diseases.",1.0,1.0,23.405006265664184,15.501616541353389,16.728156217252725
Treatment of cervical spondylotic myelopathy by enlargement of the spinal canal …,Nervous system diseases,0.6074,EXPERT,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000005,15.903189008614273
Stroke rehabilitation: Australian patient profile and functional outcome. A pros…,Nervous system diseases,0.5932,EXPERT,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000005,15.903189008614273
Systemic hypertension in sleep apnea syndrome. Relationship with sleep architect…,Cardiovascular diseases,0.5745,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified two key factors that contribute to this condition: hypertension and apnea. Hypertension, which falls under the broader category of vascular disease within the cardiovascular system, involves high blood pressure that can damage arteries over time. Apnea, a symptom related to respiratory issues affecting the chest area, indicates breathing pauses during sleep. Both conditions collectively increase the risk of developing cardiovascular diseases such as heart attacks and strokes due to their impact on blood flow and overall health.",1.0,1.0,12.861337209302349,16.806627906976747,17.693802365651003
