text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,EXPERT,normal,"The model classified the biomedical abstract as ""Digestive System Diseases"" due to the presence of key words and phrases related to the cardiovascular and respiratory systems. The abstract mentions ""cardiac output"" and ""pulmonary vascular pressures,"" which are directly associated with the cardiovascular system. Additionally, the mention of ""arteries"" is crucial because arteries are part of the circulatory system, which plays a vital role in delivering oxygen and nutrients to the body's tissues and removing waste products. The cardiovascular system is closely linked to the digestive system, as both systems work together to maintain overall bodily function. Therefore, the abstract's content is strongly indicative of diseases affecting the cardiovascular or respiratory systems, leading the model to classify it as a digestive system disease.",0.0,1.0,8.708344262295128,18.106327868852457,18.026119701940384
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the presence of key terms related to blood vessels and circulatory systems. Specifically, the phrase ""carotid"" and ""dural"" in the abstract are crucial. Carotid refers to the blood vessels in the neck that supply blood to the brain, while dural indicates the dura mater, the outermost layer of the meninges that cover the brain and spinal cord. These terms are directly relevant to cardiovascular diseases, as they pertain to the circulatory system and blood flow, which are core aspects of cardiovascular health.",0.0,1.0,38.19869565217394,13.645217391304353,14.554592549557764
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,EXPERT,normal,"The model classified the abstract as a digestive system disease due to the presence of ascites, which is a symptom of the disease, and the mention of peritoneal destruction, indicating damage to the abdominal lining. These terms are directly relevant to diseases affecting the digestive system, such as inflammatory conditions or malignancies. Additionally, the reference to the failure of medical treatment and the need for surgical intervention further supports the classification, as surgical procedures are often associated with digestive system diseases.",0.3333,1.0,12.318888888888921,18.248641975308647,19.287186520377343
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the mention of ""intermittent claudicatio"" and ""peripheral vascular disease"" in the text. These terms indicate that the study is focused on conditions affecting the blood vessels and heart, which are directly related to cardiovascular diseases. The use of ""indobufen,"" an agent used to treat peripheral vascular diseases, further supports this classification, as it pertains to conditions that can lead to cardiovascular issues over time. The abstract's description of patients undergoing treadmill exercise tests to measure pain-free and global walking distances, as well as recovery times after exercise, is consistent with the pathophysiology of cardiovascular diseases, particularly those affecting the circulatory system. Therefore, the model likely inferred that the primary focus of the study was on conditions within the cardiovascular disease category.",1.0,1.0,8.458793893129808,18.588305343511454,18.878054631974784
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,EXPERT,normal,"The model classified the biomedical abstract as ""Neoplastic"" due to the presence of key words and phrases that indicate abnormal tissue growth and cellular proliferation. The most influential tokens from LIME's feature attribution are:
  1. **""cancer"":** This term is central to the prediction, as cancer is a disease characterized by abnormal cell growth and division. In the context of the abstract, the mention of ""tumour stage"" and ""treatment of cancer"" strongly suggests a focus on neoplastic processes.
  2. **""Tumour"":** Tumour refers to an abnormal growth of tissue, which aligns with the concept of a neoplasm. The mention of tumours with ""local infiltration"" and the need for ""palliative treatment"" further supports the prediction of ""neoplastic"".
  3. **""Eosinophils"":",1.0,1.0,41.34959770114946,12.294827586206896,13.81666964889586
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,EXPERT,normal,"The model classified the biomedical abstract as ""Neoplastic Lesions"" due to the presence of key words and phrases related to abnormal tissue growth, specifically ""colon."" The colon is a crucial part of the digestive system, and its involvement in the abstract suggests a focus on colorectal cancer, which is a type of neoplastic lesion. The high incidence of colon-related malignancies in the FHS cohort, as well as the mention of lung and prostate cancers, further supports this classification. The colon plays a central role in the digestive process and is susceptible to both benign and malignant growths, making it a significant factor in the overall cancer experience described.",1.0,1.0,32.163333333333355,15.480740740740742,15.903189008614273
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,EXPERT,normal,"The model classified the abstract as ""General pathological conditions"" due to the mention of hepatitis and the phrase ""This."" Hepatitis is a broad term for inflammation of the liver, which falls under the broader category of general pathological conditions. The use of the word ""this"" in the abstract likely refers to a specific instance or group of patients, further supporting the classification of the abstract's content as related to general pathological processes.",1.0,1.0,23.850000000000023,15.895,17.5058628484301
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
Lower extremity arterial disease in elderly subjects with systolic hypertension.…,Cardiovascular diseases,0.9408,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the presence of key words and phrases related to hypertension, which is a major risk factor for cardiovascular diseases. The abstract mentions ""systolic hypertension"" and an ""ankle-arm index"" (AAI), both of which are directly linked to cardiovascular health. The AAI is described as a ""non-invasive"" indicator of ""flow-significant arterial disease"" and ""burden of disease"" in high-risk populations. This information, combined with the mention of hypertension, strongly suggests that the abstract pertains to cardiovascular diseases, making cardiovascular diseases the most likely predicted class.",1.0,1.0,14.29000000000002,16.98,16.52667757954773
Role of surgery in antibiotic-induced pseudomembranous enterocolitis. With the i…,Digestive system diseases,0.7851,EXPERT,normal,"The model classified the abstract as a digestive system disease due to the mention of colitis, which is an inflammation of the colon. Colitis is a type of intestinal disease that falls under the broader category of inflammatory bowel diseases, such as Crohn's disease or ulcerative colitis. The abstract also discusses colonic diseases, further supporting the classification. The key tokens ""colon"" and ""intestinal disease"" are crucial because they directly relate to the gastrointestinal system, which encompasses the digestive tract from the mouth to the anus. These concepts are essential in understanding the context of the abstract, as they highlight the importance of the digestive system in the patient's condition, making digestive system diseases the most appropriate classification for this abstract.",1.0,1.0,23.14500000000004,15.993333333333332,16.887214914478655
Patient age and results of balloon aortic valvuloplasty: the Mansfield Scientifi…,Cardiovascular diseases,0.87,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the presence of key words and phrases related to heart failure and cardiovascular system symptoms. The abstract mentions ""congestive heart failure,"" which is a type of heart failure characterized by fluid buildup in the lungs and other parts of the body. This directly relates to cardiovascular diseases, making it a strong indicator for the prediction. Additionally, the mention of ""aortic valve"" and ""valvular heart disease"" further supports the classification, as these conditions fall under the broader category of cardiovascular diseases. The model likely attributed high importance to these terms due to their direct relevance to the cardiovascular system and their association with heart failure.",1.0,1.0,23.398263157894775,15.659894736842109,15.6451
How ancient is temporal arteritis? Realism is one of the characteristics of Amar…,Cardiovascular diseases,0.9191,EXPERT,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
The role of elective lymph node dissection in the management of patients with th…,Neoplasms,0.8583,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Systemic chemotherapy for urothelial cancer in patients with ureteric obstructio…,Neoplasms,0.6457,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Central nervous system vasculitis after chickenpox--cause or coincidence? A 7.5 …,Cardiovascular diseases,0.4682,EXPERT,normal,"The model classified the abstract as ""Cardiovascular diseases"" due to the mention of ""arteries"" and ""infarct"" in the text, which are directly related to the cardiovascular system. ""Vasculitis,"" another key token, refers to inflammation of the blood vessels and arteries, which can lead to infarcts, or areas of tissue death, as seen in the patient's case. The patient's history of a seizure and the presence of a cerebrovascular lesion further support a cardiovascular disease classification, as seizures can be a symptom of conditions like stroke or epilepsy, both of which fall under the broader category of cardiovascular diseases.",1.0,1.0,18.29057823129253,18.823469387755107,18.243605946275583
