text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index,experiment,generation_mode,example_id,explanation_word_count
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,BEGINNER,normal,"assistant
The model predicted that the patient has digestive system diseases because it found the presence of the liver in the data. In the biomedical ontology, the liver is an organ located in the abdomen, which belongs to the digestive system. Therefore, if the model detected the liver in the dataset, it likely inferred that the patient might have conditions related to the digestive tract, such as gastritis, hepatitis, or other issues affecting this part of the body.",1.0,1.0,35.10653846153849,14.821794871794872,16.32212239822248,BEGINNER / normal,normal,0,78
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / normal,normal,1,15
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,BEGINNER,normal,"assistant
The model predicted that someone has a digestive system disease because it found three key features related to this condition: ascites, which is fluid buildup around the abdomen; peritoneum, an important layer of tissue covering the organs inside the abdomen; and endometriosis, a disorder affecting the uterus that can sometimes spread to other parts of the body. These features suggest a problem within the digestive system, likely involving inflammation or obstruction of the intestines or stomach.",1.0,1.0,11.741915584415608,21.186038961038964,20.267338824336647,BEGINNER / normal,normal,2,77
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it detected symptoms like claudication and pain that are common in this condition. Claudication refers to leg pain during walking due to reduced blood flow to the legs, while pain can indicate discomfort anywhere in the body related to vascular issues. These symptoms align well with the cardiovascular disease classification, making these key features influential in the model's decision.",1.0,1.0,21.714090909090917,15.696060606060607,16.728156217252725,BEGINNER / normal,normal,3,66
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it found cells within the data set. Cells are part of tissues and can develop abnormal growths called tumors. When these tumor cells grow out of control, forming masses of tissue, we call this condition a neoplasm. So, if the model detected cells in the dataset, it likely concluded that there might have been neoplastic changes occurring.",1.0,1.0,59.342045454545485,9.081363636363635,12.161744961471694,BEGINNER / normal,normal,4,66
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it detected an increased presence of cancer cells within the tissue sample analyzed. Cancer is a type of neoplasm, which means abnormal growth of cells without control or regulation. In this case, the model found more cancer cells than usual, leading to the classification of ""neoplasms"" as the predicted outcome.",1.0,1.0,43.48350282485876,12.080000000000002,13.5591,BEGINNER / normal,normal,5,59
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / normal,normal,6,16
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it found the term ""colon"" mentioned in the data. Colon is an anatomical structure within the body, which could indicate the presence of neoplastic growths like tumors or abnormal tissue changes. This suggests that somewhere in the patient's medical records or imaging studies, there was mention of a colon-related issue related to cancer or other types of abnormal cell growth.",1.0,1.0,40.03782608695653,13.388695652173912,14.06817628641468,BEGINNER / normal,normal,7,69
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,BEGINNER,normal,"assistant
The model predicted that the patient has ""General pathological conditions"" because it found evidence of inflammation related to liver issues, which falls under the broader category of general health problems affecting multiple organs. The key feature ""hepatitis"" indicates an infection or damage to the liver, while ""This"" could refer to any unspecified part of the body, possibly suggesting systemic involvement. Together, these findings point towards a condition involving multiple organ systems, fitting the description of ""General pathological conditions.""",1.0,1.0,5.552236286919879,19.02683544303797,20.581828153500812,BEGINNER / normal,normal,8,79
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,BEGINNER / normal,normal,9,16
Lower extremity arterial disease in elderly subjects with systolic hypertension.…,Cardiovascular diseases,0.9408,BEGINNER,normal,"assistant
The model predicted that someone has cardiovascular diseases because it found evidence related to heart problems or blood vessel issues in their health data. In the biomedical world, ""disease"" refers to any abnormal condition affecting an organism. So, if the model detected something connected to heart conditions or blood vessels during analysis, it likely concluded that this person might have cardiovascular diseases. This conclusion was based on identifying connections between certain symptoms or risk factors that are commonly associated with heart-related illnesses according to the biomedical knowledge base.",1.0,1.0,13.150126404494388,16.952668539325845,17.971250198000288,BEGINNER / normal,normal,10,89
Role of surgery in antibiotic-induced pseudomembranous enterocolitis. With the i…,Digestive system diseases,0.7851,BEGINNER,normal,"assistant
The model predicted that the patient has digestive system diseases because it found two key features related to this condition: ""colitis"" and ""peritonitis"". Colitis refers to inflammation of the colon, which can affect various parts of the digestive tract. Peritonitis involves infection or irritation of the lining around the abdominal organs, often caused by inflammation elsewhere in the body. Both conditions fall under the broader category of digestive system diseases, making these symptoms likely indicators of such issues.",1.0,1.0,25.0849525316456,14.666930379746836,16.52667757954773,BEGINNER / normal,normal,11,79
Patient age and results of balloon aortic valvuloplasty: the Mansfield Scientifi…,Cardiovascular diseases,0.87,BEGINNER,normal,"assistant
The model predicted that someone has cardiovascular diseases because it found ""heart failure"" as an important factor. Heart failure is part of the broader category of cardiovascular diseases, which includes conditions affecting blood flow through the heart and circulation throughout the body. When the model identifies heart failure as significant, it suggests there might be issues related to the heart's ability to pump blood effectively, leading to potential complications like high blood pressure, coronary artery disease, or other heart-related problems. These conditions can increase the risk of developing cardiovascular diseases overall.",1.0,1.0,16.12913043478264,16.723478260869566,17.693802365651003,BEGINNER / normal,normal,12,92
How ancient is temporal arteritis? Realism is one of the characteristics of Amar…,Cardiovascular diseases,0.9191,BEGINNER,normal,"assistant
The model predicted that someone has cardiovascular diseases because it found an ""eyebrow"" in the data. In the biomedical world, eyebrows belong to the anatomy section under material anatomical entities within the broader category of anatomical collections. This suggests that the person might have some condition related to their facial appearance, which could potentially affect their heart health. However, without more information, we can't determine exactly what type of cardiovascular disease this might be.",1.0,1.0,17.475750000000033,15.479833333333332,16.218646115125612,BEGINNER / normal,normal,13,75
The role of elective lymph node dissection in the management of patients with th…,Neoplasms,0.8583,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / normal,normal,14,14
Systemic chemotherapy for urothelial cancer in patients with ureteric obstructio…,Neoplasms,0.6457,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / normal,normal,15,14
Central nervous system vasculitis after chickenpox--cause or coincidence? A 7.5 …,Cardiovascular diseases,0.4682,BEGINNER,normal,"assistant
The model predicted that someone has cardiovascular diseases because it found evidence related to blood vessels and infections. Specifically, it detected signs of inflammation affecting blood vessels (vasculitis), which can lead to heart problems. Additionally, the presence of chickenpox was noted, though this is typically an infection of the skin rather than directly linked to cardiovascular issues. Lastly, mentions of arteries suggested involvement of the circulatory system, potentially indicating conditions like high blood pressure or narrowing of arteries. These findings collectively point towards cardiovascular health concerns.",0.6667,1.0,14.139517241379307,15.60979310344828,16.887214914478655,BEGINNER / normal,normal,16,87
Intraepithelial anchoring fibril components. Cultured human keratinocytes and cu…,Neoplasms,0.8585,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it detected an increased risk of abnormal cell growth and division, which falls under the broader category of cancerous tumors. This prediction was influenced by the presence of ""carcinoma,"" which is a type of tumor characterized by uncontrolled cell growth and spread within tissues. Carcinomas can occur anywhere in the body, including organs like the lungs, breasts, and intestines, and they often develop from normal cells becoming malignant. Therefore, if the model found evidence of carcinoma, it flagged this as a potential neoplasm, indicating a high likelihood of developing into a more serious condition such as cancer.",1.0,1.0,28.295990566037744,15.895943396226418,18.243605946275583,BEGINNER / normal,normal,17,106
The effects of nonthyroid disease and drugs on thyroid function tests. Serious n…,General pathological conditions,0.6815,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / normal,normal,18,16
Prostatic duct adenocarcinoma. Findings at radical prostatectomy. Previous studi…,Neoplasms,0.8511,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / normal,normal,19,14
Review of clinical experience with digoxin immune Fab (ovine). Following the dev…,General pathological conditions,0.4776,BEGINNER,normal,"assistant
The model predicted that the patient has ""General pathological conditions"" because it found two key features: ""heart"" and ""hypokalemia"". These features suggest that there might be an issue with the heart function or potassium levels in the body. Specifically:

1. **Heart**: This term refers to the muscular organ located in the chest cavity responsible for pumping blood throughout the body. A problem with the heart could indicate various issues such as heart failure, arrhythmias, or other cardiac disorders.

2. **Hypokalemia**: This condition involves low levels of potassium in the bloodstream. Potassium plays a crucial role in maintaining proper muscle function, including heart muscle contraction. Low potassium can lead to irregular heartbeat, weakness, and fatigue.

Together, these findings point towards potential problems related to the heart or potassium balance within the body, which aligns with the classification of ""General pathological conditions.""",1.0,1.0,33.545625,12.958927304964543,14.554592549557764,BEGINNER / normal,normal,20,141
Effect of increased left atrial pressure on breathing frequency in anesthetized …,Cardiovascular diseases,0.7793,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / normal,normal,21,15
Extracorporeal shock wave lithotripsy of gallstones: results and 6-month follow-…,Digestive system diseases,0.8115,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,BEGINNER / normal,normal,22,16
