input_index,experiment_tag,xai_method,user_category,ablation_mode,constrained_decoding,lambda,ner_merging,predicted_class,confidence,text_snippet,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
1,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Digestive system diseases,0.6624,Endometriosis associated with massive ascites and absence of pelvic peritoneum. Although massive ascites associated with…,"When the model looked at the abstract, it found the key words ""massive ascites"" and ""absence"" of the ""pelvic peritonum"" to be very important. ""Ascites"" is a build-up of fluid in the abdomen, which can be very serious. ""Pelvic"" means around the pelvis, and ""peritonium"" refers to the lining of the abdomen. ""Massive"" means very large. ""Absence"" means not there. So, the model thought, ""Oh, this person has a lot of this fluid in their belly, and there's no lining there. That's not good!"" It's like if you had a big puddle of water in your tummy, but there was no skin there to keep it in. That would be a big problem, right? So, based on what the model saw, it thought this",0.3333,1.0,80.99416129032262,5.042774193548386,7.554174236665414
2,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Cardiovascular diseases,0.9097,"Ultrasound-Doppler diagnosis of Budd-Chiari syndrome. We report a case of apparently idiopathic Budd-Chiari syndrome, di…","The model classified the abstract as ""Cardiovascular diseases"" because the key tokens ""vena"" (vein) and ""trombo"" (thrombus) in the abstract are highly influential. ""Vena"" is a medical term for a vein, a type of blood vessel. ""Trombo,"" on the other hand, refers to a thrombus, which is a clot in a vein. The abstract mentions ""hepatic veins"" (the veins in the liver) and talks about a ""flow pattern"" in these veins. This suggests a problem with blood flow in the veins, which can be a sign of a ""venous thromboembolism"" (a clot in the vein that can travel to the lungs). ""Thromboemboli"" (clots) can cause ""hepatitis"" (inflammation of the liver), and """,1.0,1.0,64.58722972972974,8.846621621621622,10.504223727775692
3,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,General pathological conditions,0.5573,Neurogenic inflammation of the rat trachea: fate of neutrophils that adhere to venules. The goal of this study was to de…,"The model classified the abstract as ""General pathological conditions"" because it found the term ""neuromuscular"" in the text, which is a key word in the ""neurogenic"" part of the study. ""Neuroma"" and ""muscle"" are both part of ""neur"" (neuro-) and ""myo"" (mus-), so they're related. The model likely thought ""neuron"" (ner-), ""myelin"" (my-), and ""glia"" (gl-), which are all parts of ""myelo-"" (muscular). ""Neuro-"" (neur-) is a prefix that means ""relating to"" or ""concerning"" the nervous system. So, ""neural,"" ""muscular,"" ""glial,"" and ""nerve"" are all related to the study's focus on ""ne",0.0,1.0,58.50030434782613,9.67078260869565,12.68835289967788
4,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Nervous system diseases,0.6343,Aberrant regeneration in a case of syringobulbia: selective co-activation of abducens and facial nerves during saccades.…,"When the model looked at the abstract, it found two key words that were very important:
- **""syrinx""**: This is a part of the spine, and when it's messed up, it can cause problems. In this case, it's ""myelia"" (which means ""spine"") that's not working right.
- ""Myelia"" → ""Syrinx""
- ""Syringobullia"" → **""Syringe""** + **""Bulb""** → ""Bulge"" + ""Tube""
- The **""bulge""** and **""tube""** of the **""spine""** (myelia) **""bump""** into **""nerves""**.
- This causes **""muscles""** to **""twitch""** or **""move""** in a **""",0.0,1.0,85.16499999999999,5.852222222222224,7.168621630094336
5,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Neoplasms,0.8244,Germ cell tumor of testis in a patient with von Hippel-Lindau disease. Germ cell testicular tumor is a previously undesc…,"When the model looked at the abstract, it saw words like ""germ cell tumor,"" ""testis,"" and ""von Hippel-Hil-Landau disease."" These words are important because:
- ""Germin"" means ""to grow"" or ""to develop."" In this case, it's about cells growing.
- ""Cell"" is the basic unit of life. It's like the building blocks of all living things.
- A ""tumor"" is a growth of tissue. It can be either good (like when you grow a new hair) or bad (like cancer).
- ""Testis"" is part of a man's body. It makes sperm.
The model thought, ""Hey, this is all about cells in the testis, and it's related to a disease. That sounds like a neoplasm to me!""",1.0,1.0,86.97366883116884,3.657694805194808,6.980632752743321
6,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Digestive system diseases,0.6946,Failure of hepatitis B immunization in liver transplant recipients: results of a prospective trial. Twenty patients with…,"When the model looked at the abstract, it found that the key words and phrases related to the liver, which is part of the digestive system. ""Hepatitis"" and ""hepatic"" (liver-related) were very important. The model thought, ""Oh, this has to do with the liver! "" It's like when you have a tummy ache, and you think, ""That must be my tummy, right? "" So, based on what the model saw, it thought this abstract was about liver-related issues.",1.0,1.0,70.07278947368424,7.261684210526315,9.888512548439397
7,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Cardiovascular diseases,0.7881,Spontaneous rupture of an aortic aneurysm into the left renal vein. A diagnostic challenge. Rupture of an aortic aneurys…,"When the model looked at the abstract, it found key words like ""aneurysm, "" ""renal vein, "" and ""fistula"" — all of which are related to blood vessels. ""Vein"" is a type of blood vessel, and ""renal"" means ""of the kidney, "" which is part of the body's circulatory system. These words, along with ""rupture"" and ""CT scan, "" tell the model that there's a problem with a blood vessel in the body. The model, based on these words, thought the most likely class was ""Cardiovascular diseases, "" as it's a major cause of health problems.",1.0,1.0,67.43750000000001,9.442777777777781,9.516144504307135
8,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Neoplasms,0.8469,Imaging of a parapharyngeal hemangiopericytoma. Radioimmunoscintigraphy (SPECT) with indium-111-labeled anti-CEA antibod…,"When the model looked at the patient's medical record, it found the key word ""hemi"" in the phrase ""paraphringale"" (which means ""around the throat""). This word is part of the term ""parapharyng"" (meaning ""near the throat"") and ""hem"" (referring to ""half"" or ""halfway""). 

The word ""pericy"" (from ""peri"" + ""cyt"" = ""around + cells"") is also found. ""Cyto"" means ""cell"" and ""cyte"" is a misspelling of ""cytos"" (cell). 

""Pericyt"" (cyt + ""per"" = around + ""cell"") is a key word. ""Peri"" (around) + ""cyst"" (cyst) → ""peri-cyst"" → ""pericyst"".",0.0,1.0,78.03416666666668,5.6875,9.2995712137729
9,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Neoplasms,0.4018,Clinicopathological features of elevated lesions of the duodenal bulb. We present here our findings on patients with an …,"When the model looked at the abstract, it found key words like ""duodenum,"" ""adenocarcinoma,"" and ""hyperplasia"" that were very important. ""Duodenum"" is the part of the small intestine where the stomach empties, and it's where this patient's problem was found. ""Adeno"" is a type of cell, and ""cancer"" means it's not normal. ""Hyper"" means too much. So, the model thought, ""Oh, this is about a problem in the duodenum that could be cancer. "" That's why it thought the patient had a ""neoplasm.""",0.3333,1.0,67.09504065040652,7.296097560975614,9.725611199111238
10,beginner_normal_lime,LIME,BEGINNER,normal,True,5.0,False,Cardiovascular diseases,0.4788,Magnetic resonance imaging for assessment of vena caval tumor thrombi: a comparative study with venacavography and compu…,"When the model looked at the abstract, it found key words like ""cancer"" and ""thrombus"" in the text. ""Carcinoma"" is a type of cancer, and a ""venacavogram"" (which is like a special X-ray) is used to look at blood vessels. ""Thrombus,"" which is a clump of blood, can be found in the veins. The model thought that these words, along with ""renal"" (referring to the kidneys) and ""adrenal,"" (which are part of the body's endocrine system), were the most important. It's like saying, ""Oh, there's a cancer in the blood, and it's not good!""",0.5,1.0,77.05300000000001,7.182425531914898,9.3871
