text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,BEGINNER,normal,"The model classified this abstract as a ""digestive system disease"" because the key token ""syn-drome"" (from ""hepatopul-o-mal-e-si-s"" in the abstract) is a type of disease. ""Syndromes"" are groups of symptoms that occur together, and in this case, the liver-transplantation-related ""he-pa-to-pul-mon-e-a-l sy-n-d-r-o-m-e"" (liver-pulmonary-mal-ery-syndrome) fits this description. This syndrome is a disease that affects the liver, lungs, and blood vessels, and it's relevant because it's a disease of the digestive system. The ""hepa"" (hep-), ""pul"" (pul-), and ""mal"" (mal-), as well as the ""-emia"" (e-mi-a),",1.0,1.0,46.13278614457832,11.979608433734942,12.161744961471694
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,BEGINNER,normal,"In this case, the model was trained on a dataset of medical abstracts, and it made the prediction of ""Digestive System Diseases"" for the given abstract. This is because the key phrases ""massive ascites"" and ""abnormal peritoneal tissue"" (referring to the ""absence"" of the ""pelvic"" part of ""pelvis"" - ""pelvi"" + ""um"" = ""peri"" + ""-um"" → ""peri-"" = ""peri"" + -um → ""per-"" + ""i-"" → ""-i-"" + ""-i"" → ""-"" + ""-"" → ""-"") in the abstract, as well as ""endometriotic"" (meaning ""end- + -o-"" + -"" -"" → -"" + """" → """" + ""o-"" → ""o"" + + ""-"" → ""-"" + ""-"" + """,0.6667,1.0,49.264471830985926,15.207112676056344,13.81666964889586
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,BEGINNER,normal,"The model classified the abstract as ""Cardiovascular diseases"" because the key word ""claudication"" in the text is very relevant. Claudication is a symptom, specifically a pain in the legs that occurs when walking. It's a sign that there's a problem with the blood flow to the legs, often due to atherosclerosis (hardening of the arteries). This symptom, ""claude"" (a misspelling of ""claustro"" - ""clogged"" or ""constricted""), is a big clue that the disease being studied, ""peripheral vascular disease"" (PVD), falls under ""cardiovascular"" (heart-related) diseases. PVD can lead to ""coronary artery disease,"" ""heart failure,"" ""arrhythmias,"" ""hypertension,"" and ""vascular disorders,"" all of which are part of the ""diseases of",1.0,1.0,35.2717169811321,13.606301886792455,15.6451
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,BEGINNER,normal,"The model classified this abstract as ""Neoplasm"" because the key word ""Cancer"" in the text is the most influential. Cancer is a type of neoplasia, which is an abnormal growth of tissue. In this case, the cancer is of the ""oesophageal"" (oesophagus) tissue. The word ""oesophag"" is part of the word ""o-esoph-ag"" (o- = ""of"" + -esoph- + -ag = ""tissue"") and ""esoph-"" (o-es- + ""o-"" + ""ph-"" + ""-"" + ""g-"" = ""o"" + ""-"" + ""s"" + ""-ph"" + ""+"" + ""-g"" + ""= "" + ""t"" + "") + ""ag"" (tissue) + "" "" (space) + ""- "" (dash) + -",1.0,1.0,68.715,8.146666666666668,10.125756701596842
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,BEGINNER,normal,"The model classified the abstract as ""Neoplastic Lesions"" because the key token ""colorectum"" (which is part of ""colon"") and ""prostate"" (part of ""penis"") are mentioned in the text. ""Colorectal cancer"" and ""前列腺癌"" (prostate cancer) are both types of ""neoplastic"" (abnormal growth) and ""lesions"" (tumors) that can be found in the ""anatomy"" of the ""body"" (specifically, the ""intestines"" or ""genitals""). The ""age"" (69-65) and the ""sex"" (male/female) of the 1,200 ""malignancies"" (cancers) are also relevant.",1.0,1.0,43.46590090090092,13.324594594594597,15.021129683784007
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,BEGINNER,normal,"The model classified the abstract as ""General pathological conditions"" because it identified two key words: ""hepatic"" and ""bleeding."" ""Hepatic"" refers to the liver, a vital organ in the body. ""Bleeding"" is a symptom, not a disease, but it's relevant here because it's part of the liver's function. The liver's role is to filter blood, and when it's inflamed, it can bleed. ""Hemorrhage,"" as a symptom of liver disease, is a sign that the liver isn't working well. The long-term (12-year) study of 5-18-year-old patients with ""nongrafted"" (non-transplanted) ""AA"" (aplastic anemia) who were ""androgen"" (testosterone) ""therapy"" (treatment) for ""5-20""",1.0,1.0,49.54442176870751,10.4065306122449,12.161744961471694
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
