text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it identified the 'liver' as a key feature. The liver is a part of the body's digestive system, so if the liver is involved, it's likely that there's a digestive issue. The 'digestive system' is part of 'anatomy', and 'anatomical structure' is a type of 'structure'. Thus, the liver, being part of both the '消化系统' and '解剖学结构' (anatomy), is a strong indicator of a '消化道疾病' (digestive disease).",1.0,1.0,49.06000000000003,11.385000000000002,13.023866798666859
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease. This is because the key features identified, such as ""ascites"" and ""peritoneum,"" are both related to the digestive system. ""Ascites"" is a symptom that can be a sign of liver, kidney, or heart disease. ""Peritoneum"" is part of the peritoneal cavity, which is an area in the abdomen. Both of these features, along with ""Endometi...",1.0,1.0,60.651910447761196,8.128537313432837,10.793553405168563
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,BEGINNER,normal,"assistant
Based on the model's prediction, it is likely that the patient has a cardiovascular disease. The key features ""claudication"" and ""pain"" are influential in this prediction. ""Claudication"" is an ache or cramp-like pain in the legs that worsens with walking. ""Pain"" is any kind of pain. Both of these symptoms, as part of the ""nervous system symptom"" ""sensation perception"" (which is a sub-category of ""symptom""), are hallmarks of cardiovascular diseases.",1.0,1.0,47.05298591549297,10.22405633802817,12.340626583579944
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,BEGINNER,normal,"assistant
The model predicted that the patient has ""Neoplasm"" because it identified ""cell"" as a key feature. ""Cell"" is a fundamental unit of life, and ""neoplasm,"" or ""neoplastic"" (from ""new"" + ""growth""), refers to a new, uncontrolled growth of cells. In the context of medicine, ""Neoplastic cells"" are abnormal, out-of-control cells that can form tumors. Thus, ""cell,"" being a part of a neoplasm, led to the model's prediction of ""Neoplastms.""",1.0,1.0,48.326250000000016,10.804166666666667,14.191785591663535
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,BEGINNER,normal,"assistant
The model predicted that the patient has ""Neoplasm"" because it identified ""cancer"" as a key feature. ""Cancer"" is a type of ""disease"" that causes ""cellular proliferation"" and ""neoplasm"". Thus, ""neoplastic disease"" (which is ""neoplast"" + ""-oma"" = ""tumor"" + ""of"" + ""'s"") is a ""diseased"" ""tissue"" or ""organ"" that has ""abnormal"" ""cell"" ""growth"".",1.0,1.0,41.022333333333364,11.678,13.023866798666859
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,BEGINNER,normal,"assistant
Based on the model's prediction of 'Neoplasm', we can infer that the key feature, 'colon', is a part of a neoplasm. The 'colon' (anatomy) is part of the body, and a 'neoplasm' (biomedical term) is a type of tumor. Thus, the model likely identified the 'colonic tissue' as a neoplastic tissue.",1.0,1.0,46.07243589743592,11.139230769230767,13.023866798666859
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,BEGINNER,normal,"assistant
Hepatitis is an inflammation of the liver, and it's a type of disease. ""This"" is just a placeholder, like ""it"" or ""that"" — we don't know what ""this"" refers to, but it could be any part of the body. So, when the model sees ""hepatitis"" and ""This"", it's like it's saying, ""There's a liver-related disease, and we're not sure what 'this' is, but we're sure it's part of a disease."" ""General"" means ""all-encompassing"" — so, ""general"" could mean ""all liver-related diseases"" or even ""all diseases."" ""Pathological"" is about ""abnormal,"" so ""pathological conditions"" would mean ""diseases"" that are ""not normal."" ""Conditions"" are ""states"" of being, so ""general",1.0,1.0,52.906785714285746,10.227380952380955,13.295006501635747
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
