text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,BEGINNER,normal,"assistant
The model predicted that the patient has digestive system diseases because it found the presence of the liver in the data. In the biomedical ontology, the liver is an organ located in the abdomen, which belongs to the digestive system. Therefore, if the model detected the liver in the dataset, it likely inferred that the patient might have conditions related to the digestive tract, such as gastritis, hepatitis, or other issues affecting this part of the body.",1.0,1.0,35.10653846153849,14.821794871794872,16.32212239822248
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.580000000000002,17.122413403193683
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,BEGINNER,normal,"assistant
The model predicted that someone has a digestive system disease because it found three key features related to this condition: ascites, which is fluid buildup around the abdomen; peritoneum, an important layer of tissue covering the organs inside the abdomen; and endometriosis, a disorder affecting the uterus that can sometimes spread to other parts of the body. These features suggest a problem within the digestive system, likely involving inflammation or obstruction of the intestines or stomach.",1.0,1.0,11.741915584415608,21.186038961038964,20.267338824336647
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it detected symptoms like claudication and pain that are common in this condition. Claudication refers to leg pain during walking due to reduced blood flow to the legs, while pain can indicate discomfort anywhere in the body related to vascular issues. These symptoms align well with the cardiovascular disease classification, making these key features influential in the model's decision.",1.0,1.0,21.714090909090913,15.696060606060609,16.728156217252725
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it found cells within the data set. Cells are part of tissues and can develop abnormal growths called tumors. When these tumor cells grow out of control, forming masses of tissue, we call this condition a neoplasm. So, if the model detected cells in the dataset, it likely concluded that there might have been neoplastic changes occurring.",1.0,1.0,59.342045454545485,9.081363636363637,12.161744961471694
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it detected an increased presence of cancer cells within the tissue sample analyzed. Cancer is a type of neoplasm, which means abnormal growth of cells without control or regulation. In this case, the model found more cancer cells than usual, leading to the classification of ""neoplasms"" as the predicted outcome.",1.0,1.0,43.48350282485876,12.080000000000002,13.5591
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,BEGINNER,normal,"assistant
The model predicted that there were neoplasms because it found the term ""colon"" mentioned in the data. Colon is an anatomical structure within the body, which could indicate the presence of neoplastic growths like tumors or abnormal tissue changes. This suggests that somewhere in the patient's medical records or imaging studies, there was mention of a colon-related issue related to cancer or other types of abnormal cell growth.",1.0,1.0,40.03782608695653,13.388695652173912,14.06817628641468
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,BEGINNER,normal,"assistant
The model predicted that the patient has ""General pathological conditions"" because it found evidence of inflammation related to liver issues, which falls under the broader category of general health problems affecting multiple organs. The key feature ""hepatitis"" indicates an infection or damage to the liver, while ""This"" could refer to any unspecified part of the body, possibly suggesting systemic involvement. Together, these findings point towards a condition involving multiple organ systems, fitting the description of ""General pathological conditions.""",1.0,1.0,5.552236286919879,19.02683544303797,20.581828153500815
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
