text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,EXPERT,normal,"The machine learning model classified the abstract under digestive system diseases because it detected several key biomarkers that point towards issues within the gastrointestinal tract. Specifically, the phrase ""artery"" mentioned in the abstract is crucial. Arteries play a vital role in transporting oxygen-rich blood throughout the body, and their involvement suggests potential problems related to circulatory systems.

In the context of the study, arteries are involved in both the respiratory and cardiovascular functions. This implies that there might be abnormalities in how these vessels function post-liver transplantation, potentially leading to complications such as hepatic encephalopathy or other forms of liver-related neurological syndromes. The presence of an artery in the abstract indicates a systemic issue that could affect various organs, making digestive system diseases the most likely diagnosis among the options presented.

Thus, the model attributed high importance to the mention of arteries due to their critical role in overall organ health",1.0,1.0,18.541324503311273,16.032128666035955,16.439396014739867
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,EXPERT,normal,"The model predicted cardiovascular diseases because it recognized the mention of ""cavernous sinus,"" which is a critical anatomical structure involved in various conditions related to blood circulation and pressure within the brain. Specifically, the presence of a carotid cavernous sinus fistula involves abnormal communication between the carotid arteries and the cavernous sinus, potentially causing increased intracranial pressure and symptoms such as headache, visual disturbances, and cranial nerve palsies. This condition falls under the broader category of cerebrovascular disorders, making ""cardiovascular diseases"" the most appropriate classification for the abstract. The involvement of the cavernous sinus underscores its importance in understanding both normal and pathological processes involving blood flow and pressure dynamics within the central nervous system.",1.0,1.0,-6.994945652173897,21.377282608695655,21.41881206717044
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,EXPERT,normal,"The model's prediction that the abstract belongs to the digestive system diseases category is driven by several key tokens responsible for the abstract's content. Specifically, the presence of ""ascites,"" ""peritoneum,"" and ""Endometriosis"" are crucial factors.

Firstly, ""ascites"" refers to an accumulation of fluid within the abdominal cavity, which can occur due to various causes such as heart failure, liver cirrhosis, or kidney disease. In this case, the patient had massive ascites, indicating significant internal fluid buildup. This condition is directly related to the digestive system because it affects organs like the liver and kidneys, which are part of the digestive process.

Secondly, ""peritoneum"" is a thin layer of tissue covering most of the abdominal wall and lining the inside of the abdomen and pelvis. It plays a critical role in protecting the abdominal organs and facilitating their movement",1.0,1.0,30.498913043478296,13.902919254658386,14.756829357015494
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,EXPERT,normal,"The model predicted cardiovascular diseases because it recognized that indobufen, an inhibitor of platelet aggregation, was being used in patients with intermittent claudication due to peripheral vascular disease. This condition involves pain in the legs during activity, often caused by narrowed arteries supplying blood to the lower extremities. The treadmill exercise tests conducted on these patients measured their pain-free walking distances (PFWD) and global walking distances (GWD), along with recovery times post-exercise.

Key tokens responsible for the prediction include ""claudication,"" which indicates the presence of intermittent leg pain, and ""peripheral vascular disease,"" indicating the underlying circulatory issues affecting the limbs. These conditions are directly related to cardiovascular health, making them significant factors in determining whether the patient falls under the broader category of cardiovascular diseases. Additionally, the mention of treating patients with aspirin (ASA) further supports the likelihood of cardiovascular complications, reinforcing",1.0,1.0,0.5062910798122289,19.068169014084507,18.946978176291534
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,EXPERT,normal,"The model predicted neoplasms because it recognized the mention of ""cancer"" in the abstract excerpt. Cancer is an abnormal growth of cells that can occur anywhere in the body, including the esophagus. This term is directly related to the topic of the abstract, which discusses the staging of esophageal cancer using various imaging techniques such as computed tomography (CT) and endosonography (ES). The presence of ""cancer"" in the text indicates that the study focuses on diagnosing and staging esophageal tumors, making neoplasms the most likely predicted class. The word ""neoplasms"" specifically refers to new growths of tissues, which aligns perfectly with the focus on tumor staging and treatment strategies discussed in the abstract.",1.0,1.0,38.65352212389382,13.48240707964602,14.836745963215662
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,EXPERT,normal,"The model predicted neoplasms because it identified ""colon"" as an important factor in the abstract. Colon cancer, specifically colorectal cancer, is one of the most common types of neoplasms. The colon is a critical part of the digestive system responsible for absorbing nutrients and removing waste. Its importance in the FHS cohort underscores how prevalent and significant colorectal cancer can be among noninstitutionalized white subjects. This information directly supports the model's decision to classify the abstract as neoplasms.",1.0,1.0,26.139461538461546,13.488871794871795,14.836745963215662
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,EXPERT,normal,"The model's prediction of ""General pathological conditions"" was driven by several key elements within the abstract excerpt. Specifically, the mention of ""nongrafted aplastic anemia"" and ""androgen therapy"" stood out prominently due to their relevance to the broader field of pathology.

Firstly, ""nongrafted aplastic anemia"" refers to a type of bone marrow failure disorder characterized by prolonged anemia without evidence of significant blood loss or infection. This condition involves the body's inability to produce sufficient red blood cells, leading to fatigue, weakness, and susceptibility to infections. Understanding the evolution of such conditions over extended periods is crucial for developing effective treatment strategies and predicting potential complications.

Secondly, ""androgen therapy"" pertains to hormonal treatments used to stimulate hematopoietic stem cell production in individuals with aplastic anemia. By administering androgens like testosterone, doctors aim to increase the",0.5,1.0,6.209477611940315,17.148848614072495,18.243605946275583
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683
