question,answer,FRE,FKGL
How do muscles grow?,"I hope this answer qualifies as technical, yet simple enough (as I very rarely post here), but the basic idea that I understand is that your muscles rip and tear on a microscopic level when you are working out, and the harder you push those muscles, the more they rip. Hence where the idea comes from that more reps and less weight equal more tone, but more weight and less reps equal more muscle growth. What happens is that following those tiny rips and tears, your muscle heals over itself and essentially stacks on top of itself, healing bigger and stronger than before. The more those muscles are used, kept active and challenged, the more they will continue to build and grow over time. Other factors go into the growth of muscle as well, such as your nutrition. Protein, fats, etc. also play a factor, as they cause your body to ""feed"" your body and muscles in different ways of varying effectiveness - but I think that's an ELI5 for another day.",61.81894736842108,10.705563909774437
Why is chickenpox worse as an adult?,"It's mostly due to the difference in immune system between a child and an adult. A primary varicella zoster infection (chickenpox) in adulthood is indeed associated with increased risk of complications. Most of these complications are due to the intense response by the adult immune system that comes into contact with the virus for the first time. Children have less active immune systems, but usually active enough to clear the virus - making them immune to it thereafter, and are therefore less likely to develop complications with this particular infection. The same goes to hepatitis A: adults develop jaundice, while children are asymptomatic.  Note: a secondary varicella zoster infection during adulthood is called ""shingles"" and is generally less dangerous than a primary varicella during adulthood, due to the immunity that is already present at the time of the second infection.",32.37982613908875,14.498237410071944
"Why are some fish bones edible, and others are not?","They are small and soft so it does not matter if you swallow them, bigger and harder bones might get stuck in your throat and couse pain",82.29666666666668,8.488148148148152
Why has the Mars Rover Opportunity's Lithium Ion Battery Lasted 11+ Years and the one in My Cell Phone/Laptop/Tablet Dies in Less Than 2?,"NASA requirements lean toward the 'overengineered' side (for good reason - if something goes wrong you can't replace it). The battery in your phone is more from the ""make it cheaper, they can always buy another battery"" school of engineering. (Just to clarify, I am not being cynical about phone/laptop batteries. Most people - me included - would rather not pay something like 100 times as much for a battery that is able to withstand operating on Mars and lasts several times longer.)",56.462500000000034,10.352500000000003
"If the inside of my microwave is made of metal, why is it bad to put metallic objects in it?","The metal interior of the oven is grounded. It does pick up a charge from the microwaves, but the charge is dissipated to ground, and so does not arc. Your fork, or the foil on your plate, are not grounded, and thus the charge can build up until it is strong enough to arc to a grounded panel.",79.27373563218391,7.005172413793105
How does bugspray kills bugs?,"Bugspray is actually a chemical weapon. As in it shuts down biological functions bugs need to stay alive, like forgetting how to breathe for example. It can also cause military chemical weapons detection gear to register false positives.",44.815175438596526,10.155263157894733
Why are the things that taste the best bad for us?,"Let's think about this from an evolutionary perspective. Way back in the day, (like way way way back) humans struggled for food just like every other animal. It was to our species evolutionary advantage to pursue food that would keep us full longer, or provide more energy than other food options. Fats, are 9 calories per gram compared to proteins and carbs that are 4 calories. Humans that preferred fats and craved them, had a higher chance of survival and passing on the fat craving trait. Fast forward to present day where food is plentiful. We are still programmed to eat high calorie foods just in case we won't find food for a week!",67.85763157894738,7.8403759398496256
How do devices know the amount of charge left in a battery?,The Voltage of a battery depends on the charge. A five voltage battery may start with 5.1 Volt and slowly go down. When you're at 4.9 volt you'll know the battery is rather empty. I'm not sure if that is the case for all modern Rechargeable batteries. They might have special measuring and charging chips included.,77.85785714285716,4.387142857142859
Why are my muscles sore after jumping in cold water?,"From what I understand, our bodies defenses against hypothermia is to shiver. This involves involuntary muscle contractions to generate heat. These muscles contractions still can cause muscle soreness just like working out.",37.383333333333354,10.695
Why doesn't it rain salt water?,"When water evaporates, it gets heated to an extent that the water particles move faster and spread apart, which causes them to become ""lighter"" than the air around them, turning into water vapor, a gas. Due to this, they rise up into the atmosphere. Then, they start to cool down, and become liquid again. When they become cool enough that they're heavier than the air, it rains back down. This is the basic water cycle. The salt which makes it salt water requires a much higher temperature to turn into gas, one which doesn't normally happen during this cycle. Because of this, it does not follow the water, and thus, it doesn't rain salt water.",68.77739130434786,7.747577639751551
What is a MAC Address?,"It's a unique device address given to each piece of network connected hardware. It's different from an IP address because it's permanent: every device has one and only one MAC address, but it is given a new IP address every time it connects.  Edit: You can think of the MAC address as a device's permanent name, and the IP address as an instruction for other devices to find it. Your device *is* MAC number X, and it *can be found at* IP address Y.",61.64142857142859,9.87857142857143
"When popcorn is popping, what is actually happening to the kernel inside?","As the kernel is heated, the moisture and oils are being heated inside. Since the outer shell of popping corn is strong and mostly impenetrable, there is no place for the heat and pressure to go and the insides are superheated. The starches inside, which are normally hard, begin to soften in a process called gelatinization. Interior pressure continues to rise until the kernel's shell ruptures. Steam rapidly expands causing the innards to expand in a foamy substance, which afterwards quickly cools into a crispy puff.",56.57467441860467,9.641255813953489
how does a home equity loan work?,"A home equity loan is a loan that is based off the difference between the value of the house and the current balance of the primary mortage. If you paid $50,000 for a house that's worth $75,000, you can get $25,000 in equity loans.  Subsequently, if your house was worth $75K when you bought it and it's now worth $135K because reasons, you can now get that much more in your equity loan. In theory, you don't have to wait at all to get a loan. If you sign on the dotted line for the $75K house for a $50K mortgage, you could turn right around that day and get a $25K equity loan. you just have to have the equity in the house to get the loan.",82.73635416666667,7.0190625
"In English, what is the rule for the use of “An” or “A”","An is used for words that start with a vowel sound. Examples, An owl, an hour, an eight, an apple, an onion. A is used for all others.",91.61166666666668,2.8000000000000007
What happens to Lactose when ingested by Lactose-Intolerants?,"So, from what I've understood in the past, people who are lactose-intolerant aren't able to break down lactose. Their body doesn't produce enough lactase, which is an enzyme that breaks down lactose. So, depending on how much lactose is taken in, it usually is broken down by bacteria instead in the gut. This causes a bunch of side effects like, nausea, bloating, gas, and stomach cramps.",59.342045454545485,9.081363636363637
"Why does water freeze from top to bottom? Deep in the ocean it’s below freezing, why doesn’t it freeze?","There are several reasons. The salt in the ocean lowers the temperature needed to make it freeze. Currents stop the ice from bonding, and if Ice did freeze, it is less dense and floats. But the main reason is the pressure, especially in deep water. To freeze, water needs to expand. Deep in the ocean, the pressure from the water stops it from being able to expand.",83.1217288557214,4.4396268656716416
How does copyright work with references?,"US copyright has a Fair Use clause, which a minor reference like the ones you are mentioning fall under. You don't need to pay royalties for something like mentioning ""I saw something like this on Star Trek once!"" or ""This is like Episode 79 of the Original Series, Turnabout Intruder! They got bodyswapped!""  As to when you cross the line of fair use, that's subjective and really you have to use your best judgment.  _URL_0_ has more info.",77.58615384615386,5.667179487179489
How does a two headed reptile/siamese twins work? How do they move their bodies assuming there are two brains?,"Typically each twin controls a different part of the body. Like the twin girls Brittany and Abigail Hensel. They give the appearance of being one body with two heads, though they have two of each organ above the waist. They have two arms, each controlling one. And from the waist down, they have one body, with each controlling one half. So each controls a leg, for example. There doesn't appear to be any part that both of their brains controls. So they coordinate with each other so that they can walk, but they each have their own body parts they use. In some cases of animals with two heads, only one head ""works"". The other head doesn't seem to have any reactions to stimuli so it's vestigial.",77.36969685039371,5.62284251968504
Isn't the freshwater we have to work with just going in a cycle? How are we losing fresh water?,"When the water ends up in the oceans, it slows down the cycling a lot. Water in aquifers (the stores under the ground that we access when we use wells) and water on Earth's surface are the cheapest to use. We have been either polluting these (surface) or using them too fast for new water to filter in. We have also allowed a lot of water to go to the ocean(storm water runoff from developed areas) , rather than slowly go into the aquifers through the ground. So the result is we are using aquifer water faster than they are getting refilled. When that water is depleted, all water will become more expensive. We will still have it, but it will either be salty, polluted, or far from where it needs to be, and all of the fixes for this cost money. Sorry if this isn't too coherent, I haven't finished my first cup of coffee for the day.",69.52672468354433,8.468196202531647
Why do we hear static from radios and TV's when there's nothing being broadcast? Shouldn't we just hear silence?,"Because there isn't nothing there. Every spectrum is full of random noise from stars, radioactive decay, all sorts of things like that. It's just terrestrial broadcasts are so much stronger that it overwhelms the random noise. This is why when you start reaching the edge of the coverage area for the station you're listening to, it starts getting more and more static-ey and doesn't just go from ""fine"" to ""nothing.""",65.79821428571432,8.429285714285715
