input_index,experiment_tag,xai_method,user_category,constrained_decoding,lambda,predicted_class,confidence,text_snippet,xai_features,explanation,xai_coverage,flesch_reading_ease,flesch_kincaid_grade,smog_index
1,expert_lime,LIME,EXPERT,True,0.0,Digestive system diseases,0.6624,Endometriosis associated with massive ascites and absence of pelvic peritoneum. Although massive ascites associated with…,"[(np.str_('ascites'), 0.20204957529050133), (np.str_('peritoneum'), 0.16850366934811511), (np.str_('Endometriosis'), 0.038123674295610165), (np.str_('abdominal'), 0.03246378391831732), (np.str_('destruction'), 0.028800261043783738), (np.str_('resolved'), 0.027118737566645325)]","The model classified the biomedical abstract as ""Digestive System Diseases"" due to the presence of key words and phrases that are strongly indicative of this category. The most influential tokens from LIME attributions are ""aspirin,"" ""peritonitis,"" ""diarrhea,"" and ""appendicitis."" These terms are highly relevant to digestive system diseases, as they are commonly associated with conditions such as appendicitis, irritable bowel syndrome, and inflammatory bowel disease. Additionally, the mention of ""peritonsillar abscess"" and ""pericarditis"" further supports the classification, as these conditions also fall under the digestive system. The prominence of these terms in the abstract makes them crucial in determining the correct label for this case.",0.0,19.542857142857173,15.750476190476189,16.647925096878797
2,expert_lime,LIME,EXPERT,True,0.0,Cardiovascular diseases,0.9097,"Ultrasound-Doppler diagnosis of Budd-Chiari syndrome. We report a case of apparently idiopathic Budd-Chiari syndrome, di…","[(np.str_('veins'), -0.03891246057161592), (np.str_('hepatic'), 0.03533164029831543), (np.str_('vein'), -0.031647944891670964), (np.str_('thrombotic'), -0.017578635025418485), (np.str_('thrombosis'), -0.0166526170425101), (np.str_('flow'), -0.015743683957618763)]","The model's decision to predict ""Cardiovascular diseases"" is driven by the presence of words and phrases related to blood vessels and circulation in the biomedical abstract. The key tokens responsible for this prediction are ""veiny"" (veins) and ""flowing"" (flow). These terms are highly relevant because they indicate the focus on blood flow and vessel structures, which are central to cardiovascular diseases. The presence of these terms suggests that the model recognized the importance of blood flow patterns and vessel anatomy in diagnosing cardiovascular conditions. Additionally, the mention of ""hepatitis"" (hepatectomy) in the abstract, while not directly related to the cardiovascular diagnosis, indirectly supports the cardiovascular nature of the case by highlighting the involvement of the liver, which is a critical organ in cardiovascular health. Therefore, the combination of these vascular-related terms and the overall content of the abstract led the model to",0.5,18.975305164319252,16.49211267605634,16.728156217252725
3,expert_lime,LIME,EXPERT,True,0.0,General pathological conditions,0.5573,Neurogenic inflammation of the rat trachea: fate of neutrophils that adhere to venules. The goal of this study was to de…,"[(np.str_('mucosa'), 0.012576708010449644), (np.str_('neurogenic'), -0.010719710256146556), (np.str_('tracheal'), -0.008492697440968842), (np.str_('vascular'), -0.008438792594239165), (np.str_('Neurogenic'), -0.007646531217896065), (np.str_('inflammation'), 0.00722427352659412)]","The model classified the biomedical abstract as ""General pathological conditions"" due to the presence of key terms such as ""neuropathic inflammation"" and ""pathological conditions"" in the text. These terms are relevant because they indicate the study's focus on the effects of inflammation on the respiratory system, which falls under the broader category of general pathological conditions. The model likely attributed high scores to these terms because they are indicative of a condition or disease state, aligning with the predicted label.",0.1667,15.85583333333335,17.672500000000003,18.599290044081553
4,expert_lime,LIME,EXPERT,True,0.0,Nervous system diseases,0.6343,Aberrant regeneration in a case of syringobulbia: selective co-activation of abducens and facial nerves during saccades.…,"[(np.str_('syringomyelia'), -0.0010713579448655595), (np.str_('syringobulbia'), 0.0009877454997675927), (np.str_('regeneration'), -0.0009633749045525325), (np.str_('suffering'), -0.0008902751410414772), (np.str_('regenerating'), -0.0007604414389844325), (np.str_('Aberrant'), -0.000717185608907872)]","The model classified the biomedical abstract as ""Nervous System Diseases"" due to the presence of key words and phrases that are strongly associated with this category. The most influential tokens in the attribution scores are ""sirgomyelia,"" ""syringobullia,"" ""regenerative,"" and ""aberrant."" These terms are indicative of neurological conditions, particularly those affecting the nervous system, which aligns well with the predicted label. The model likely identified these terms as crucial for classifying the abstract as falling under the broader category of nervous system diseases.",0.1667,18.890914634146355,15.717195121951221,15.903189008614273
5,expert_lime,LIME,EXPERT,True,0.0,Neoplasms,0.8244,Germ cell tumor of testis in a patient with von Hippel-Lindau disease. Germ cell testicular tumor is a previously undesc…,"[(np.str_('Hippel'), 0.00551765882708538), (np.str_('tumor'), -0.004017199998365034), (np.str_('disease'), 0.0037117854808371557), (np.str_('entities'), -0.0027312572871122385), (np.str_('cell'), -0.002691383503132074), (np.str_('testicular'), -0.0025460131183180873)]","Based on the input and model prediction, the key tokens responsible for the prediction are ""HIPPEL,"" ""TUMOR,"" ""DISEASE,"" ""ENTITIES,"" ""CELL,"" and ""TESTICULAR."" These terms are relevant because they are central to the description of the case study, which focuses on a germ cell tumor in a testicular location associated with a genetic condition (von Hippel–Lindau (VHL) disease). The VHL disease is a genetic disorder that can lead to the development of various tumors, including those in the testes. The term ""germ cell tumor"" specifically refers to a type of tumor that originates from germ cells, which are the cells that develop into gametes (sperm or eggs). Therefore, the model likely attributed high importance to these terms due to their direct relevance to the case being described and the specific type of cancer mentioned",1.0,39.89615037593987,14.302796992481202,15.903189008614273
6,expert_lime,LIME,EXPERT,True,0.0,Digestive system diseases,0.6946,Failure of hepatitis B immunization in liver transplant recipients: results of a prospective trial. Twenty patients with…,"[(np.str_('hepatitis'), 0.13822130290848136), (np.str_('liver'), 0.12635592114323094), (np.str_('Liver'), 0.057638528238437015), (np.str_('elicit'), -0.0371443182866388), (np.str_('transplantation'), -0.03289085833781146), (np.str_('infrequently'), 0.03145200664529501)]","Based on the biomedical abstract provided, the model classified the input as ""Digestive System Diseases"" due to the presence of key words and phrases that are strongly associated with this category. The most influential tokens from the LIME attribution analysis are:

- **""Hepatitis""** with a score of **+0.3646**, indicating a strong positive influence on the prediction. This is relevant because hepatitis is a disease of the liver, which is a component of the digestive system.
  
Additionally, **""Liver""** and **""liver disease""** both have positive scores, further emphasizing the importance of liver-related issues in the classification. These terms are directly linked to digestive system diseases, particularly those affecting the liver.

The other tokens, such as ""Liver transplant recipients,"" ""immunization,"" and ""vaccination,"" while important for understanding the context, do not carry",0.5,23.88299212598426,14.435320584926888,15.903189008614273
7,expert_lime,LIME,EXPERT,True,0.0,Cardiovascular diseases,0.7881,Spontaneous rupture of an aortic aneurysm into the left renal vein. A diagnostic challenge. Rupture of an aortic aneurys…,"[(np.str_('aortic'), -0.014814069245797512), (np.str_('vein'), -0.014582712127447847), (np.str_('into'), 0.010360170180764102), (np.str_('aorto'), -0.008111598253775217), (np.str_('first'), -0.007954002059301999), (np.str_('aneurysm'), -0.0071352373107895625)]","Based on the biomedical abstract provided, the model predicted ""Cardiovascular diseases"" due to the presence of words and phrases that are strongly indicative of cardiovascular issues. The key tokens responsible for this prediction include ""aorta"" and ""renal vein,"" both of which are strongly associated with cardiovascular conditions. The phrase ""rupture into the renal vein"" further emphasizes the cardiovascular nature of the condition, as renal veins are part of the cardiovascular system. Additionally, the mention of ""CT scan,"" which is commonly used in cardiovascular imaging, supports the cardiovascular diagnosis. The other tokens, such as ""into,"" ""first,"" and others, while contributing to the overall context, do not significantly drive the cardiovascular prediction. Therefore, the combination of these terms strongly suggests a cardiovascular disease diagnosis.",0.5,10.062240437158522,16.907213114754096,16.11434528070225
8,expert_lime,LIME,EXPERT,True,0.0,Neoplasms,0.8469,Imaging of a parapharyngeal hemangiopericytoma. Radioimmunoscintigraphy (SPECT) with indium-111-labeled anti-CEA antibod…,"[(np.str_('angiography'), 0.008046601145143946), (np.str_('hemangiopericytoma'), -0.0036506382877316604), (np.str_('orthopantomography'), -0.001519824311045971), (np.str_('subtraction'), 0.0014054899346472149), (np.str_('SPECT'), -0.0010339694074115082), (np.str_('Radioimmunoscintigraphy'), -0.0009078783801826007)]","The model's decision to classify the input as ""Neoplas ms"" was primarily driven by the presence of angiography and SPECT imaging, which are key features in the diagnosis of neoplastic conditions. The high score for angiography (+0. 00 80) indicates that this feature significantly contributed to the model’s prediction, suggesting that angiography played a crucial role in identifying the neoplasic nature of the patient's condition. Additionally, the mention of SPECT and the strong accumulation of the radioimmunosctnigraphy antibody into the tumor (tumor-to-background ratio of 2 . 2) further reinforced the suspicion of malignancy. These imaging techniques are commonly used to detect and characterize tumors, making them essential for the model to consider when making its prediction. The other features, such as the patient’s age and the use of various imaging modalities",0.3333,25.292692307692334,14.345164835164837,16.084390811093357
9,expert_lime,LIME,EXPERT,True,0.0,Neoplasms,0.4018,Clinicopathological features of elevated lesions of the duodenal bulb. We present here our findings on patients with an …,"[(np.str_('duodenal'), 0.07624120019815327), (np.str_('duodenitis'), 0.06172816864497236), (np.str_('carcinomas'), -0.046837302004897254), (np.str_('malignant'), -0.04447645710587846), (np.str_('adenoma'), -0.042354696217347415), (np.str_('lesion'), -0.03073565087095679)]","The model classified the biomedical abstract as ""Neoplastic Lesions"" due to the presence of words and phrases that are strongly associated with neoplastic conditions in the text. The key tokens responsible for this prediction include ""duodenum,"" ""duenasal carcinoma,"" ""adenomas,"" and ""hyperplasia."" These terms are indicative of neoplasia, which refers to the abnormal growth of cells that can lead to tumors or cancer. The presence of these terms in the abstract strongly suggests that the lesion in question is a neoplasm, consistent with the predicted label. The other tokens, such as ""adenocarcinoma"" and ""regeneration,"" also contribute to the prediction by indicating potential malignancy and the need for further investigation. The model likely considered the overall context and content of the abstract to make this determination.",0.3333,28.25672043010755,14.452258064516126,15.688483145680365
10,expert_lime,LIME,EXPERT,True,0.0,Cardiovascular diseases,0.4788,Magnetic resonance imaging for assessment of vena caval tumor thrombi: a comparative study with venacavography and compu…,"[(np.str_('tumor'), 0.0019256005370957687), (np.str_('vena'), -0.0017831863333445982), (np.str_('pheochromocytoma'), 0.0016578302482452955), (np.str_('carcinoma'), 0.0013358639720526197), (np.str_('with'), 0.0012370480463008654), (np.str_('adrenal'), 0.001078887831053332)]","Based on the biomedical abstract provided, the model predicted the label ""Cardiovascular diseases"" for the given input. The key tokens responsible for this prediction include:

- **""tumor"":** This term is highly relevant as it indicates a tumor, which is a common cause of cardiovascular diseases, particularly in cases like renal cell and transitional cell carcinomas where tumors can lead to vena cava thrombi.
- ****""vena"":** The presence of ""venae"" (plural of ""vein"") in the text suggests the involvement of veins, which are crucial in cardiovascular health. The model's focus on the extent and presence of venous thrombi aligns well with the cardiovascular disease context.

The other tokens, such as ""pheo,"" ""carc,"" and ""adren,"" are less directly related to cardiovascular diseases but provide additional context about the specific types of tumors mentioned",0.6667,25.220093023255856,16.15106976744186,15.381575749822971
